Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
AMEOS Hospital Alfeld,2.7,70,"Landrat-Beushausen-Straße 26, 31061 Alfeld (Leine)",5,"(Translated by Google) Was presented today by Dr. O. Tebbi and a very nice nurse ""patched up"" again after a minor accident. Doctors in hospitals are often unfriendly and you feel like a disruptive factor. That was not the case today, I felt that I was in good hands.
I would write ""I'll be back!"" But who wants that? ;)

(Original)
Wurde heute von Dr. O. Tebbi und einer sehr netten Krankenpflegerin nach einem kleineren Unfall wieder ""zusammengeflickt"". Oft sind Ärzte in Krankenhäusern unfreundlich und man fühlt sich wie ein Störfaktor. Das war heute nicht der Fall, ich habe mich gut aufgehoben gefühlt.
Würde ja schreiben ""komme gern wieder!"" aber wer will das schon? ;)",2 weeks ago,0
AMEOS Hospital Alfeld,2.7,70,"Landrat-Beushausen-Straße 26, 31061 Alfeld (Leine)",1,"(Translated by Google) The star is only given for the friendliness of the receptionist.

Since Saturday we have been trying to find out information about my grandmother's state of health, one is always put off and even has an appointment with the doctor ... who is suddenly not in the house, etc. Now they even hang up when you call. This behavior will now have consequences. The names of the ""sisters"" are noted who laugh at you on the phone because you are worried.

If they work the way they behave on the phone ......

(Original)
Den Stern gibt es nur für die Freundlichkeit der Rezeption.

Seit Samstag versuchen wir Auskunft über den Gesundheitszustand meiner Oma zu erfahren,man wird immer vertröstet und hat sogar einen Termin mit dem Arzt....der dann plötzlich nicht im Haus ist usw. Jetzt wird sogar aufgelegt wenn man anruft. Dieses Verhalten wird nun Folgen haben.  Namen der ""Schwestern"" sind notiert,die einen am Telefon auslachen weil man besorgt ist.

Wenn die so arbeiten,wie sie sich am Telefon verhalten......",2 months ago,1
AMEOS Hospital Alfeld,2.7,70,"Landrat-Beushausen-Straße 26, 31061 Alfeld (Leine)",5,"(Translated by Google) Great family clinic. You can feel that people like to work together here. Even if there are larger clinics, you can feel here how important regional supply is. . Even in times of coronavirus, he is always approachable and is a pioneer in vaccinating employees so that patients can feel safe. Great house, gladly again

(Original)
Tolle familiäre Klinik. Man spürt, dass hier gern zusammengearbeitet wird. Ach wenn es größerer Kliniken gibt, so spürt man hier, wie wichtig regionale Versorgung ist. . Auch zu Corona Zeiten immer ansprechbar und Vorreiter beim Impfen der Mitarbeiter, so dass man sich als Patient sicher fühlen kann. Tolles Haus, gerne wieder",a month ago,2
AMEOS Hospital Alfeld,2.7,70,"Landrat-Beushausen-Straße 26, 31061 Alfeld (Leine)",5,"Nach Monatelanger Intensiver Betreeung meines Vaters habe Ich tolles Ärtzeteam und Fachpersonal kennengelernt, wo nur die  Genesung meines Vaters im Fokus stand. Auch grade in heutiger Zeit ist mir viel Menschlichkeit, Fachompetenz und Einfühlungsvermögen in dieser Klinik begegnet. Vielen Dank dafür!",3 days ago,0
AMEOS Hospital Alfeld,2.7,70,"Landrat-Beushausen-Straße 26, 31061 Alfeld (Leine)",1,"(Translated by Google) I have never seen such an unfriendly porter as in this house!
About three years ago I overheard the staff on the inside making fun of a very overweight patient.

(Original)
Habe noch nirgends einen derart unfreundlichen Pförtner erlebt wie in diesem Haus!
Vor ca. drei Jahren hörte ich mit, wie sich das Personal auf der Inneren über eine stark übergewichtige Patientin lustig machte.",2 months ago,0
AMEOS Hospital Alfeld,2.7,70,"Landrat-Beushausen-Straße 26, 31061 Alfeld (Leine)",5,"(Translated by Google) Many Thanks!! For your help even during the Corona period, we often forget what the nursing staff do for our society! You always have my respect / hats off!

(Original)
Vielen Dank!! Für eure Hilfe auch in der Corona Zeit, wir vergessen oft was die Pflegekräfte alles für unsere Gesellschaft leisten!! Meinen Respekt haben Sie allemal/ Hut ab !!!",a month ago,1
AMEOS Hospital Alfeld,2.7,70,"Landrat-Beushausen-Straße 26, 31061 Alfeld (Leine)",2,"(Translated by Google) Was to the MRT in Alfeld. I can recommend the radiological practice. Friendly and professional staff.

3 star deduction because of the employee at the information desk, unfriendly and unfortunately not very helpful. I was on crutches and would have been delighted to have a little support and understanding, but nothing.

The conversation with a colleague (who was sitting on the desk) was probably more important here!

(Original)
War zum MRT in Alfeld. Die Radiologische Praxis kann ich empfehlen. Freundliches und professionelles Personal.

3 Sterne Abzug wegen des Mitarbeiters an der Information,  unfreundlich und leider nicht sehr hilfsbereit. War auf Krücken unterwegs und hätte mich über ein bisschen Unterstützung und Verständnis sehr gefreut, aber Fehlanzeige.

Hier war das Gespräch mit einer Kollegin (die auf dem Schreibtisch saß) wohl wichtiger!",7 months ago,2
AMEOS Hospital Alfeld,2.7,70,"Landrat-Beushausen-Straße 26, 31061 Alfeld (Leine)",3,"(Translated by Google) 5 stars for the radiology in the Alfeld hospital. Super friendly and competent staff.

I can only say to the good man at the reception - job missed. More than rude ....

(Original)
5 Sterne für die Radiologie im Alfelder Krankenhaus. Super freundliches und kompetentes Personal.

Zu dem guten Mann am Empfang kann ich nur sagen - Job verfehlt. Mehr als unfreundlich....",3 months ago,1
AMEOS Hospital Alfeld,2.7,70,"Landrat-Beushausen-Straße 26, 31061 Alfeld (Leine)",1,"(Translated by Google) After the accident, they simply overlooked a spinal fracture.
Runs with them.

(Original)
Die haben nach Unfall einfach einen Wirbelsäulen Bruch übersehen.
Läuft bei denen.",3 months ago,2
AMEOS Hospital Alfeld,2.7,70,"Landrat-Beushausen-Straße 26, 31061 Alfeld (Leine)",1,"(Translated by Google) You call because you are extremely worried about a relative .. totally friendly at the reception, the lady deserves 5 stars ..! But on the ward the sister on the phone reminded me of Mrs. Trunchbull ... thank you very much for the snotty answer and especially for the lie that everything would have gone normally ...
Even if you are understaffed, under stress or whatever ... you should always be friendly towards the patient, the relatives! (I work in the care myself)

(Original)
Man ruft an, weil man sich extreme Sorgen macht, um einen Angehörigen..  an der Rezeption total freundlich, die Dame hat 5 Sterne verdient..! Aber auf Station die Schwester am Telefon, erinnerte mich an Frau knüppelkuh... vielen Dank für die patzige Antwort und vor allem für die lüge, das alles normal gelaufen wäre...
Auch wenn man unterbesetzt ist, Stress hat oder was auch immer... man sollte dem Patienten, den Angehörigen immer freundlich gegenüber bleiben! (Ich arbeite selbst in der pflege)",7 months ago,2
