Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",1,I was humiliated and verbally abused by the personal in front of the whole group of the other poor souls in station 1.1. I felt forced to leave this rotten place after only one day.,3 years ago,12
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",1,"(Translated by Google) Reports are made by certain doctors who have only seen you for 2 minutes, and reports are made by doctors from Göttingen who are 90% invented. Doctors Chamber of Lower Saxony does not react. Do you have to involve the Medical Association of North Rhine-Westphalia. Expert opinions should correspond to reality. Who e.g. Has not drunk alcohol for 5 years can be badly alcohol dependent according to the expert opinion. Zero stars very easy. Really what nonsense these fake reports. And that from doctors. Very low nievo.

(Original)
Es werden von Gewissen Ärzten Gutachten erstellt die dich nur 2 min. Gesehen haben, Und es werden Gutachten erstellt von Ärzten aus Göttingen die Frei erfunden sind zu 90%. Ärzte Kammer Niedersachsen reagiert darauf nicht. Muss man die Ärzte Kammer NRW einschalten. Gutachten sollten der Realität entsprechen. Wer z.b. 5 Jahre kein Alkohol getrunken hat kann Schlecht laut Gutachten Alkoholabhängig sein. Null Sterne ganz einfach. Wirklich was für ein Blödsinn diese Fake Gutachten. Und das von Ärzten. Ganz niedriges Nievo.",a month ago,0
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",5,"(Translated by Google) my employer

(Original)
Mein Arbeitgeber",2 years ago,3
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",5,"(Translated by Google) Very empathetic staff, I feel very well looked after, I'm just passing through. I come from Bremen

(Original)
Sehr Einfühlsames Personal,ich fühle mich sehr gut Aufgehoben, bin nur auf der Durchreise.Komme aus Bremen",a month ago,0
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",1,"(Translated by Google) Dr. Schinschke is completely unsuitable for the treatment of post-traumatic stress disorders, in other words: incompetence par excellence. If you need a real doctor, you should introduce yourself to another psychotherapist and ask for a second opinion!

(Original)
Dr. Schinschke ist für die Behandlung posttraumatischer Belastungsstörungen völlig ungeeignet, sprich: Inkompetenz par excellence. Wer einen richtigen Arzt benötigt, sollte sich bei einem anderen Psychotherapeuten vorstellen und eine zweite Meinung erfragen!",4 months ago,1
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",1,"(Translated by Google) Nursing very badly, doctors very badly! Social worker is still trying hard, physiotherapy only when encouraged, one shows willingness to perform!
If you determine cerebral infarcts after diagnosis, which you order yourself, even if you are old, there is no transfer to a KH with neurology, you are in a psychiatry!
So you want to collect the full flat rate per case for patients because they also suffer from depression!
Only after about 6 weeks is the patient transferred to the neurological rehabilitation clinic, but only under pressure from the health insurance company, which no longer wants to pay Asklepios for the patient!
The whole thing is failure to provide help, that is punishable, but Asklepios has celebrity votes from the Bundestag! Zero chance even for districts in the event of a lawsuit!
I have to suffer mental torment in Tiefenbrunn 2005 and my father in Göttingen in 2020! Psychohoelle !!! Never again for anyone with us!

(Original)
Pflege sehr schlecht,Ärzte sehr schlecht!Sozialarbeiter gibt sich noch Mühe,Krankengymnastik nur auf gut Zureden zeigt man noch Leistungsbereitschaft!
Stellt nach Diagnostik die man selber anordnet,Hirninfarkte fest,auch wenn alt,erfolgt keine Verlegung in ein KH mit Neurologie,man ist ja eine Psychiatrie ist!
Man möchte also die volle Fallpauschale kassieren für Patienten weil dieser ja auch an Depression leidet!
Erst nach ca.6 Wochen erfolgt Verlegung in neurologische Rehaklinik aber auch nur unter Druck der Krankenkasse die nicht mehr an Asklepios zahlen will für Pat.!
Das ganze ist unterlassene Hilfeleistung,dass ist strafbar aber Asklepios hat Promianwaelte aus dem Bundestag!Null Chance selbst für Landkreise bei Klage!
Ich hat seelische Qualen in Tiefenbrunn 2005 zu erleiden und mein Vater 2020 in Göttingen!Psychohoelle!!!Nie wieder für niemanden bei uns!",5 months ago,1
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",5,"(Translated by Google) Very dear nurses, a lot of offers despite Corona, great doctors

(Original)
Sehr liebe Pfleger, viel Angebot trotz Corona, tolle Ärzte",4 months ago,0
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",5,"(Translated by Google) This clinic helped me a lot, was now in station 6 three times, staff was nice and always trying to help.
I had a very competent therapist and I was very satisfied and thank you again.
I am now waiting for further therapy on 12.2 which I think is very important. I would go to this clinic anytime.

(Original)
Diese Klinik hat mir sehr geholfen, war jetzt 3mal auf der Station 6, Personal war nett und immer im Versuch zu helfen.
Ich hatte eine sehr kompetente Therapeutin und bin sehr zufrieden gewesen und danke hier nochmal.
Ich warte jetzt auf die weiterführende Therapie auf der 12.2 die glaube sehr wichtig ist. Ich würde jederzeit in diese Klinik gehen.",a year ago,2
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",4,"(Translated by Google) Not that bad at all, as many write here tuhennnnnnnn ... ;-)

(Original)
Gar nicht so schlecht, wie viele hier schreiben tuhennnnnnnn ... ;-)",7 months ago,1
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",5,"(Translated by Google) Unlike most reviews, I can't write anything negative. I was at station 1.1 for three days. But I was told from the beginning that this will only be temporary and that I should first come to rest here. Then I came to station 5.2. I'm very satisfied. The patients are very nice here and mindful of each other. The nurses help you wherever they can and are very nice. I can't say anything negative about my psychologist either. She listens to you well and also responds to wishes if this is possible. I would like to have more than one appointment a week, but unfortunately that is not possible. There are great therapies and other offers here. You have to do a lot yourself what some don't understand. It's not like you get a new brain and you're ready for the world. You get templates with which you can and should work. Of course, the food here is not perfect, but it is not a restaurant either. You can eat it.
I can only recommend it to anyone who needs help.

(Original)
Im Gegensatz zu den meisten Bewertungen,kann ich nichts negatives schreiben. Ich war drei Tage auf Station 1.1. Mir wurde aber von Anfang an gesagt, das dies nur vorübergehend sein wird und ich hier erstmal zur Ruhe kommen soll. Danach kam ich auf Station 5.2. Ich bin sehr zufrieden. Die Patienten sind sehr nett hier und achtsam zueinander. Die Pfleger helfen einen wo sie können und sind sehr nett. Über meine Psychologin kann ich auch nichts negatives sagen. Sie hört einem gut zu und geht auch auf die Wünsche ein, wenn dies geht. Ich würde mir gern wünschen das man mehr als einen Termin pro Woche bekommt, aber das geht leider nicht. Hier gibt es tolle Therapien und andere Angebote. Man muss sehr viel selber machen, was manche nicht verstehen. Es ist ja nicht so, das man ein neues Gehirn bekommt und ready ist für die Welt. Man bekommt Vorlagen mit denen man arbeiten kann und sollte. Natürlich ist das Essen hier nicht perfekt, aber es ist auch kein Restaurant. Man kann es Essen.
Ich kann es nur jedem weiterempfehlen, der Hilfe braucht.",a year ago,3
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",5,"(Translated by Google) Detoxification for young people
Station 4.1
Very nice staff, nice roommates
It helps a lot

(Original)
Entgiftung für Junge Personen
Station 4.1
Sehr nettes Personal, Nette Mitbewohner
Es hilft sehr gut",a year ago,2
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",1,"(Translated by Google) Bumps in the asphalt make electric transporters rattle loudly! The residents are annoyed! The management has been doing nothing for years!

(Original)
Unebenheiten im Asphalt bringen E-Transporter zum lauten Scheppern! Die Anwohner sind genervt! Die Geschäftsführung unternimmt nichts seit Jahren!",a year ago,3
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",1,"(Translated by Google) They film one during the therapy with cameras and then point out that it is better not to say everything. Because of legal consequences could threaten if that comes out, what they have now on camera. Completely stupid.

(Original)
Die filmen einen während der Therapie mit Kameras und weisen dann noch selbst darauf hin dass man deswegen besser nicht alles sagt. Wegen rechtlichen Konsequenzen die drohen könnten, wenn das rauskommt, was sie jetzt auf Kamera haben. Vollkommen bescheuert.",a year ago,9
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",4,"(Translated by Google) I am / had been there several times.
The 5.1 (acute care) is not really recommended. The ward doctor is very rude, especially among young people, but the carers are great. The ward doctor is not really on one and made it, that I cried at every visit.

The ward 5.2 is great again, the ward doctor from there, knew about everything and has responded to my wishes and goals and has supported me until the next therapy to the station 6.

In the meantime, for the second time I am on the ward 6 for 10 weeks for behavioral therapy, ie for Emotional Unstable Personality Disorder.
The therapists there are great and the keepers are always available, as well as support one as well as possible. You learn a lot and if you have borderline, it may not even be enough to be here, but several times and you always have other goals and problems that you bring with you.

I think the food could be better.

(Original)
Ich bin/war schon mehrmals dort.
Die 5.1 (Akutstation) ist nicht wirklich zu empfehlen. Der Stationsarzt ist sehr unhöflich, vor allem bei jungen Menschen, dafür sind die Pfleger super. Der Stationsarzt ist auch nicht wirklich auf einem eingeangen und hat es geschafft, dass ich bei jeder Visite geheult habe.

Die Station 5.2 ist wiederum super, der Stationsarzt von dort, wusste über alles Bescheid und ist auf meine Wünsche und Ziele eingegangen und hat mich bis zur nächsten Therapie auf die Station 6 unterstützt.

Mittlerweile bin ich zum zweiten Mal a 10 Wochen auf der Station 6 für Verhaltenstherapie, also für Emotional Instabile Persönlichkeitsstörung.
Die Therapeuten dort sind super und die Pfleger sind immer erreichbar, sowie Unterstützen einem sowie es geht. Man lernt viel und wenn man Borderline hat, reicht es vielleicht nicht einmal hier zu sein, sondern doch mehrmals und man hat immer wieder andere Ziele und Probleme die man mitbringt.

Ich finde, dass das Essen schon besser sein könnte.",a year ago,3
Asklepios Hospital Göttingen,3.1,57,"Rosdorfer Weg 70, 37081 Göttingen",5,"(Translated by Google) I have been a patient here since 2004 and give the grade 1

(Original)
Ich bin seit2004 hier patient.und gebe die Note 1.weuter so",a year ago,1
