Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",1,Traumatic,6 months ago,1
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,"(Translated by Google) Great treatment and nice atmosphere!
I was helped a lot!

(Original)
Super Behandlung und schöne Atmosphäre!
Mir wurde sehr geholfen!",a month ago,1
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,"(Translated by Google) Good employees

(Original)
Gute Mitarbeiter",8 months ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",1,"(Translated by Google) The preliminary talk was very good, but I just thought, because as those who talked about me is the very last one: my therapist lied and made me ready on the phone when I approached the psychologist on her action. So …",a year ago,13
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",4,"(Translated by Google) Everybody tries, environment is top. But you should be reasonably stable for this and be able to do a lot on your own. Often therapies are canceled. The food is okay I think. Would like to stay here, would also …",3 years ago,3
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",1,(Translated by Google) Dreadful!!! A nightmare! The care is catastrophic! The accommodation is also just a nightmare and your problems are not taken seriously !. The carers make fun of the patients' problems and sometimes bully those with …,2 years ago,11
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",3,"(Translated by Google) Not suitable for wheelchair users. Therapists are friendly and competent, the nursing staff strives to make the patients a pleasant stay. However, if you are released, it is difficult to get any needed documents for …",5 years ago,7
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",4,"(Translated by Google) Mr. Herbst and Mr. Dümpelmann were the best

(Original)
Herr Herbst und Herr Dümpelmann waren die besten",2 years ago,2
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",4,"(Translated by Google) Therapy absolutely fine. Unfortunately, deductions in the ""B grade"".

(Original)
Therapie absolut in Ordnung. Leider Abzüge in der ""B-Note"".",3 years ago,1
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,"(Translated by Google) A great clinic. I can only recommend

(Original)
Eine super Klinik. Kann ich nur weiter empfehlen",5 years ago,3
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,"(Translated by Google) I have only received positive reports about this clinic and can only leave positive comments about it and its employees! Thanks ♡

(Original)
Mir wurde nur positives über diese Klinik berichtet und kann nur positives darüber und über ihre Mitarbeiter hinterlassen! Danke ♡",3 years ago,6
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",1,"(Translated by Google) terrible clinic, incompetent staff, poor accommodation and food, a single trauma, just somewhere else, NOT TO DEEP FROZEN, NOTHING

(Original)
schreckliche KLinik, unfähiges Personal, mangelhafte Unterbringung und Verpflegung, ein einziges Trauma, bloß woanders hin, NICHT NACH TIEFENBRUNN, KEINESFALLS",3 years ago,14
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",2,,7 months ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,,a year ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,,3 years ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,,3 years ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",1,,3 months ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,,2 years ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",1,,a year ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",1,,a week ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,,2 years ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,,4 years ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,,7 years ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,,a month ago,0
Asklepios Hospital Tiefenbrunn,3.6,25,"Tiefenbrunn, 37124 Rosdorf",5,,3 years ago,0
