Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
Augenklinik Dr. Hoffmann,4.3,107,"Wolfenbütteler Str. 82, 38102 Braunschweig",5,"(Translated by Google) I was treated very courteously and actually had no waiting times at all. The procedure itself was also free of complications and after-effects. Very friendly staff! and good education from doctors. Can only recommend it.

(Original)
Ich wurde sehr zuvorkommend behandelt und hatte tatsächlich überhaupt keine Wartezeiten. Auch der Eingriff selbst war ohne Komplikationen und Nachwirkungen. Sehr freundliches Personal!  und gute Aufklärung von Ärzten. Kann nur weiter empfehlen.",5 days ago,0
Augenklinik Dr. Hoffmann,4.3,107,"Wolfenbütteler Str. 82, 38102 Braunschweig",5,"(Translated by Google) I have already been to DR. Hoffmann's eye clinic due to emergencies and have only had the best experience.

Today it was my turn and I had an emergency because I had pointed and sharp splinters in the eye. I was given the best advice on the phone and asked to come as soon as possible.

Everything took place under first-class corona protection conditions and the consultation hours were very friendly. I had to wait a bit, but I was always informed when the time would come.

This time I was treated by a friendly and lovely doctor who did a first class job.

(Original)
Ich war bereits aufgrund von Notfällen   in der Augenklinik von DR. Hoffmann und habe nur beste Erfahrungen gesammelt.

Heute war ich selbst an der Reihe und hatte einen Notfall, da ich spitzen und scharfen Splitter ins auge bekommen hatte. Ich wurde bereits am telefon bestens beraten und aufgefordert schnellstmöglichst zu kommen.

Alles fand unter erstklassigen corona schutzbedingungen statt und die Sprechstunden waren sehr freundlich. Ich musste zwar ein wenig warten, doch ich wurde stets informiert, wann es so weit sein würde.

Diesmal wurde ich von einer freundlichen und hübschen Ärztin behandelt, die einen erstklassigen Job machte.",a month ago,0
Augenklinik Dr. Hoffmann,4.3,107,"Wolfenbütteler Str. 82, 38102 Braunschweig",5,"(Translated by Google) I was treated very courteously and actually had no waiting times at all. The procedure itself was also free of complications and after-effects. I can only report good things.

(Original)
Ich wurde sehr zuvorkommend behandelt und hatte tatsächlich überhaupt keine Wartezeiten. Auch der Eingriff selbst war ohne Komplikationen und Nachwirkungen. Ich kann nur gutes berichten.",a month ago,0
Augenklinik Dr. Hoffmann,4.3,107,"Wolfenbütteler Str. 82, 38102 Braunschweig",5,"(Translated by Google) First of all, there is a really great preparatory course. The doctors explained again exactly what they wanted to do. Good aftercare after the operation. Very satisfied.

(Original)
Zunächst erst einmal gibt es ein ganz tolles Vorbereitunsperdonal. Die Ärztinnen und Ärzte haben nochmals genau erklärt, was sie tun wollen. Nach der OP gute Nachsorge. Sehr zufrieden.",6 days ago,0
Augenklinik Dr. Hoffmann,4.3,107,"Wolfenbütteler Str. 82, 38102 Braunschweig",5,"(Translated by Google) Very good clinic and I hardly experienced any waiting time, although many complain about it! Really friendly staff and good education from doctors. Can only recommend it.

(Original)
Sehr gute Klinik und ich habe kaum Wartezeit erlebt, obwohl viele sich darüber beschweren! Richtig freundliches Personal und gute Aufklärung von Ärzten. Kann nur weiter empfehlen.",a month ago,0
Augenklinik Dr. Hoffmann,4.3,107,"Wolfenbütteler Str. 82, 38102 Braunschweig",5,"(Translated by Google) The care and care before and after the operation (cataract) was excellent. The result has exceeded all my expectations so far. If necessary, I would return to Dr. Choose Hoffmann.

(Original)
Die Betreuung und Versorgung vor und nach der OP (grauer Star) war hervorragend. Das Ergebnis hat all meine Erwartungen bis jetzt übertroffen. Ich würde bei Bedarf jederzeit wieder die Augenklinik Dr. Hoffmann wählen.",2 weeks ago,0
Augenklinik Dr. Hoffmann,4.3,107,"Wolfenbütteler Str. 82, 38102 Braunschweig",5,"(Translated by Google) Very good clinic and friendly staff! I feel really in good hands here. Always good education and competent help.

(Original)
Sehr gute Klinik und freundliches Personal! Fühle mich hier richtig gut aufgehoben. Immer gute Aufklärung und kompetente Hilfe.",a month ago,0
Augenklinik Dr. Hoffmann,4.3,107,"Wolfenbütteler Str. 82, 38102 Braunschweig",5,"(Translated by Google) Since I didn't get any contact by phone, I went to the consultation in person. I came as an ""emergency"" on Friday just before the weekend. The team was very friendly, I was examined thoroughly and the doctor was also very competent and carried out the minor procedure painlessly. Although a relatively large number of patients were still on site, the entire procedure went smoothly Stay extremely coordinated and very quick. Gladly again with the next problem 👍

(Original)
Da ich telefonisch keinen Kontakt bekam,, begab ich mich persönlich zur Sprechstunde. Ich kam als „Notfall“ am Freitag kurz vor dem Wochenende.Das Team war sehr freundlich, ich wurde gründlich untersucht und auch der Arzt war sehr kompetent und führte den kleinen Eingriff schmerzfrei durch.Obwohl relativ viele Patienten noch vor Ort waren, verlief der gesamte Aufenthalt äußerst koordiniert und sehr schnell. Gern wieder beim nächsten Problem 👍",3 months ago,1
Augenklinik Dr. Hoffmann,4.3,107,"Wolfenbütteler Str. 82, 38102 Braunschweig",5,"(Translated by Google) So far, I have been to the eye clinic twice for consultation. So far both times I have felt in good hands and advised there. All the staff there were friendly, despite the fact that it was busy. The ophthalmologist who examined me was also great. I would be thoroughly examined. I will keep going to the eye clinic. Easily accessible by bus and tram.

(Original)
Ich war bisher 2 mal in der Augenklinik in der Sprechstunde. Ich fühlte mich bisher beide male dort gut aufgehoben und beraten. Alle Mitarbeiter dort waren freundlich, trotz dass viel los war. Auch die Augenärztin die mich untersucht hat war Top. Ich würde gründlich untersucht. Ich werde weiterhin zur Augenklinik gehen. Mit Bus und Straßenbahn gut zu erreichen.",4 months ago,0
Augenklinik Dr. Hoffmann,4.3,107,"Wolfenbütteler Str. 82, 38102 Braunschweig",4,"(Translated by Google) Good treatment; hardly any waiting times. A little restless / narrow operating area, but everything very professional.

(Original)
Gute Behandlung; kaum Wartezeiten. Etwas unruhiger/enger OP-Bereich, aber alles sehr professionell.",a month ago,0
