Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
DIAKOVERE Annastift,3.8,98,COVID-19 Info · diakovere.de,5,"(Translated by Google) My daughter did a helmet therapy there which was very successful.

We were treated very well there and everyone was always nice and friendly.

I am very satisfied and have only had good experiences.

Many thanks for everything

(Original)
Meine Tochter machte dort eine helmtherapie welche großen Erfolg hatte.

Wir wurden dort sehr gut behandelt und alle waren immer nett und freundlich.

Ich bin sehr zufrieden und habe nur gute Erfahrungen gemacht.

Vielen Dank für alles",a week ago,0
DIAKOVERE Annastift,3.8,98,COVID-19 Info · diakovere.de,4,"(Translated by Google) I am currently lying on the intensive in the annastift and I can really say super, super warm friendly and very competent staff

(Original)
Ich liege gerade auf der intensiv im annastift und ich kann wirklich sagen super, super herzliche freundliche und sehr kompetentes Personal",a year ago,3
DIAKOVERE Annastift,3.8,98,COVID-19 Info · diakovere.de,4,"(Translated by Google) I was operated on on my hip in November 2020 at Annastift in Hanover. I was completely satisfied with the support from day one. The recording day was a bit tedious and the food in the morning and evening could be a bit more varied. I was at Annastift for a total of 8 days and would like to take this opportunity to thank the entire team for the great commitment, from the OR team to the nursing staff. Everything went hand in hand and at no point did you feel like you were in the wrong hands. I would have the operation here again.

(Original)
Ich wurde im November 2020 im Annastift in Hannover an der Hüfte operiert. Ich war von der Betreuung ab dem ersten Tag rundum zufrieden. Der Aufnahmetag war etwas langwiedrig und das Essen morgens und abends könnte etwas abwechslungsreicher sein. Ich war insgesamt 8 Tage im Annastift und möchte mich auch auf diesem Wege für das tolle Engagement des gesamten Teams, vom OP Team bis zum Pflegepersonal bedanken. Alles lief Hand in Hand und man hatte zu keinem Zeitpunkt das Gefühl, in falschen Händen zu sein. Ich würde mich hier wieder operieren lassen.",a month ago,0
DIAKOVERE Annastift,3.8,98,COVID-19 Info · diakovere.de,3,"(Translated by Google) My daughter is newborn and has hip dysplasia. We were at Anna Stift and a woman with her child was called by the doctor before us even though she had the appointment after ours. We waited an hour there, more than you should wait. The doctor is so nice to newborns 👿

(Original)
Meine Tochter ist Neugeborene und hat Hüftedysplasie. Wir waren bei Anna Stift und eine Frau mit ihrem Kind wurde vor uns von der Ärztin gerufen obwohl sie den Termin nach unserem hatte. Wir haben eine Stunde da gewartet Mehr als eigentlich man warten sollte. So nett ist die Ärztin zu Neugeborene 👿",4 months ago,0
DIAKOVERE Annastift,3.8,98,COVID-19 Info · diakovere.de,5,"(Translated by Google) Entrance area Diakovere Annastift

(Original)
Eingangsbereich Diakovere Annastift",a year ago,1
DIAKOVERE Annastift,3.8,98,COVID-19 Info · diakovere.de,5,"(Translated by Google) I myself had my first foot operation in the annastift on June 2nd, 2020 and on the other side of my foot on October 23rd, 2020, I'm very satisfied. The foot specialists are also extremely polite! And you feel well taken care of :)
Keep it up! 🙂

(Original)
Ich selbst wurde am 2.6.2020 Das erste mal am Fuß operiert im annastift und an 23.10.2020 auf der andere Fuß Seite, ich bin sehr zufrieden. Die Fuß Spezialisten sind auch mega höflich! Und man fühlt sich gut umsorgt :)
Nur weiter so! 🙂",4 months ago,0
DIAKOVERE Annastift,3.8,98,COVID-19 Info · diakovere.de,5,"(Translated by Google) I was operated on on the shoulder in Annastift on November 16, 2020. I am very satisfied and would like to thank all the staff at Station 4 again. Keep it up. 👍

(Original)
Ich wurde am 16.11.2020 an der Schulter im Annastift operiert . Ich bin sehr zufrieden und möchte mich nocheimal bei dem gesamten Personal von Station 4 bedanken .Weiter so. 👍",4 months ago,1
DIAKOVERE Annastift,3.8,98,COVID-19 Info · diakovere.de,5,"(Translated by Google) I felt that I was in good hands and looked after at all times. There was always someone there to answer any kind of question. I can only recommend this hospital.

(Original)
Ich fühlte mich jederzeit bestens aufgehoben und versorgt.  Jederzeit war jemand da, um jegliche Art von Fragen zu beantworten.  Ich kann dieses Krankenhaus nur weiterempfehlen.",6 months ago,0
DIAKOVERE Annastift,3.8,98,COVID-19 Info · diakovere.de,1,"(Translated by Google) My mother was operated 3 times within 1 week! Was in the intensive care unit, going to rehab tomorrow. In the whole 3 weeks (!!!) no doctor or nurse called me. I never knew how my mother was doing because of the Corona-related ban on visits. Today I hear from my mother by phone that she is going to rehab tomorrow. Again nobody, neither doctor nor nurses, thought it necessary to inform us! My mother drives without laundry, clothes etc. to rehab. I can't put into words how I think about it !!!

(Original)
Meine Mutter wurde innerhalb  1 Woche 3x operiert! Lag auf der Intensivstation, kommt morgen in die Reha. Es hat in den ganzen 3 Wochen(!!!) kein Arzt, keine Schwester bei mir angerufen. Ich wusste nie wie es meiner Mutter geht, wegen Corona bedingten Besuchsverbot. Heute erfahre ich von meiner Mutter telefonisch, das sie morgen in die Reha kommt. Wieder hielt es keiner, weder Arzt noch Schwestern, für nötig uns zu informieren! Meine Mutter fährt ohne Wäsche, Kleidung ect. zur Reha. Ich kann gar nicht in Worte fassen, wie ich das finde!!!",2 months ago,2
DIAKOVERE Annastift,3.8,98,COVID-19 Info · diakovere.de,5,"(Translated by Google) Super dear sisters and great care. I would definitely recommend it.

(Original)
Super liebe Schwestern und tolle Betreuung.  Ich würde es definitiv weiter empfehlen.",4 months ago,1
