Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
DIAKOVERE Friederikenstift,3.1,264,"Humboldtstraße 5, 30169 Hannover",1,"5 hrs with a slipped kneecap in the A&E......uncomfortable waiting room....moralising staff making you feel pretty unwelcome....had to give up - luckily swelling went down after cooling but cramps in the calves made it all too unpleasant.

If you know a witch doctor, go there instead.",a year ago,0
DIAKOVERE Friederikenstift,3.1,264,"Humboldtstraße 5, 30169 Hannover",1,Why does the hospital only reply to praise comments and not the negative ones ?,a year ago,0
DIAKOVERE Friederikenstift,3.1,264,"Humboldtstraße 5, 30169 Hannover",3,ok,a year ago,0
DIAKOVERE Friederikenstift,3.1,264,"Humboldtstraße 5, 30169 Hannover",1,"(Translated by Google) As a former hospital doctor, I can only marvel at the ""treatment"" given by a good friend, which was certainly unworthy and shameful for our class. I acknowledge that everyone is under stress during this time, but this must by no means lead to misdiagnosis. Against his better knowledge, my friend was released home. I arranged for him to be transported from there to another hospital. There he was given professional and above all human help.

(Original)
Als ehemaliger Arzt eines Krankenhauses kann ich mich nur wundern über die ""Behandlung"" eines guten Freundes, die unserem Stand sicherlich unwürdig und beschämend war. Ich erkenne an, dass in dieser Zeit alle im Stress sind, was aber keinesfalls zu Fehldiagnosen führen darf. Mein Freund wurde wohl wider besserem Wissens nach Haus entlassen. Ich habe dafür gesorgt, dass er von da aus in ein anderes Krankenhaus transportiert wurde. Dort wurde ihm dann fachgerecht und vor allem menschlich geholfen.",5 days ago,0
DIAKOVERE Friederikenstift,3.1,264,"Humboldtstraße 5, 30169 Hannover",5,"(Translated by Google) Very friendly and competent service staff. Doctors who take complaints as well as fears seriously and give them trustful advice. I felt very well cared for. A heartfelt thank you. 👍🏼🍀🌞

(Original)
Sehr freundliches und kompetentes Servicepersonal. Ärzte die sowohl Beschwerden, als auch Ängste ernst nehmen und vertrauensvoll beraten. Habe mich sehr gut aufgehoben gefühlt. Lieben Dank. 👍🏼🍀🌞",a year ago,1
DIAKOVERE Friederikenstift,3.1,264,"Humboldtstraße 5, 30169 Hannover",5,"(Translated by Google) Despite the stress due to Corona and obviously working at the limit, the staff do their best. Of course, the hospital is quite old and everything is not so nice and modern, but after all I haven't booked a wellness holiday here either, but ended up in the emergency room with severe BSV and pain like hell. I am very grateful for the extremely generous medication of painkillers and the quick action with regard to op The food is really not that great, but you can easily survive that. Thanks again....

(Original)
Trotz Stress wg. Corona und offensichtlichem Arbeiten am Limit gibt das Personal sein Bestes. Natürlich ist das KH recht alt und es ist alles nicht so nice und modern aber ich habe hier schließlich auch keinen Wellness-Urlaub gebucht sondern landete mit schwerem BSV und Schmerzen wie Sau in der Notaufnahme. Ich bin sehr dankbar für die überaus großzügige Medikation an Schmerzmitteln und dem schnellen Handeln hinsichtlich Op. Das Essen ist wirklich nicht so toll aber das überlebt man problemlos. Nochmals Danke....",a week ago,0
DIAKOVERE Friederikenstift,3.1,264,"Humboldtstraße 5, 30169 Hannover",1,"(Translated by Google) Would like to give 0 stars. Cheek the staff. The security at the front desk this morning got my mother ready and yelled at that the poor didn't even know what was happening to her. I don't know what they think they are all of a sudden. Probably because of the oh-so-great uniform, but unfortunately it's no use if you haven't learned anything clever beforehand. Hospital staff was nice but this morning's security is definitely too aggressive for this job.

(Original)
Würde am liebsten 0 Sterne vergeben. Frechheit das Personal.der Security  am Empfang heute morgen hat meine Mutter fertig gemacht und angeschrien das die arme gar nicht wusste wie ihr geschieht. Weiß nicht wofür die sich auf einmal halten. Wahrscheinlich wegen der ach so tollen Uniform, nützt nur leider nichts wenn man vorher nix gescheites gelernt hat. Krankenhauspersonal war nett aber der security von heute morgen ist definitiv zu Aggressiv für diesen Beruf.",a week ago,0
DIAKOVERE Friederikenstift,3.1,264,"Humboldtstraße 5, 30169 Hannover",5,"(Translated by Google) Due to a herniated disc, I was first in the emergency room and later for four days in ward 4 south.

I am enthusiastic about both the nurses, sisters and the doctors.
You take your time, explain and explain things and questions. Despite stress, everyone is always nice and courteous.

The service for everything (ordering food, radiology etc.) is great.
I felt very well cared for despite or especially because of severe pain.
Time was taken to address issues related to the condition.

Thanks to the corona loosening it was possible to receive visitors.

Since I decided against an operation, I was released for the weekend. The orthopedic surgeon is now on the move.

The only drawback was that the mattress was not good for me. It was firm, but too thin. I could feel the joints or edges of the lifting / nursing bed. They always pressed for my lumbar spine incident. Didn't reduce the pain, but always irritated.
But I was happy to be able to lie at all because of my pain.

I would still come back if needed. Just pay attention to the bed!

(Original)
Ich war auf Grund eines Bandscheibenvorfalls zu Erst in der Notaufnahme und später für vier Tage auf der Station 4 Süd.

Ich bin sowohl von den Pflegern, Schwestern und den Ärzten begeistert.
Man nimmt sich Zeit, erklärt und erläutert Dinge und Fragen. Alle sind trotz Stress immer nett und zuvorkommend.

Der Service rund um das Ganze (Essen ordern, Radiologie etc.) ist Klasse.
Hab mich trotz oder gerade wegen starker Schmerzen sehr gut aufgehoben gefühlt.
Es wurde sich Zeit genommen und auf Probleme auf Grund der Erkrankung eingegangen.

Dank der Corona-Lockerungen war es möglich Besuch zu empfangen.

Da ich mich gegen eine OP entschieden habe, wurde ich zum Wochenende entlassen. Der Orthopädie ist jetzt am Zug.

Einziges Manko war, dass die Madratze für mich nicht gut war. Sie war zwar fest, jedoch zu dünn. Ich konnte die Gelenke bzw. Kanten des Hebe-/Pflegebettes spüren. Sie drückten immer auf meinen Vorfall im Lendenwirbel. Hat die Schmerzen dadurch nicht reduziert, sondern immer wieder gereizt.
Ich war aber froh überhaupt liegen zu können, bei meinen Schmerzen.

Ich würde trotzdem bei Bedarf immer wieder kommen. Nur auf das Bett besser achten!",9 months ago,4
DIAKOVERE Friederikenstift,3.1,264,"Humboldtstraße 5, 30169 Hannover",1,"(Translated by Google) The most terrible hospital I've ever been treated in. Despite the fact that I am freed from the mask due to my disability, I was forced to wear a mask during an examination, the doctor even pressed the mask right onto my face. It didn't take 2 minutes until I collapsed and instead of an apology I got stupid sayings from the nurses. Never again...

(Original)
Das schrecklichste Krankenhaus in dem ich je behandelt wurde. Trotz das ich aufgrund meiner Behinderung von der Maske befreit bin wurde ich während einer Untersuchung dazu gezwungen eine Maske zu tragen, die Ärztin drückte mir die Maske sogar noch richtig aufs Gesicht. Es dauerte keine 2 Minuten bis ich kolabiert bin und anstatt einer Entschuldigung bekam ich noch dumme Sprüche von den Krankenschwestern zu hören. Nie wieder...",2 months ago,4
DIAKOVERE Friederikenstift,3.1,264,"Humboldtstraße 5, 30169 Hannover",5,"(Translated by Google) Great hospital, great surgeons, dear nurses and nurses on Ward 2 South. I felt that I was in good hands. And after botched preventive care at another hospital, my thumb was saved here by the medical team 👍

(Original)
Super Krankenhaus, tolle Chirurgen, liebe Schwester und Pfleger auf der Station 2 Süd. Ich habe mich gut aufgehoben gefühlt. Und nach verpfuschter Vorsorge eines andern Krankenhaus wurde mein Daumen hier vom Ärzte Team gerettet 👍",3 months ago,1
