Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
DRK-Krankenhaus Clementinenhaus,4.1,178,"Lützerodestraße 1, 30161 Hannover",5,"I was just there and was very impressed by their service and care. I needed a prompt surgery and they handled it right away. My German is very basic, and they made a great effort (even those who didn't know English) to communicate and make me comfortable during recovery. They should be proud of what they are doing.",2 weeks ago,0
DRK-Krankenhaus Clementinenhaus,4.1,178,"Lützerodestraße 1, 30161 Hannover",5,"I have been in this hospital six years ago after breaking my ankle. We were visiting my daughter and her German husband and grandchildren.We are from South Africa. My daughter was very sick and died of cancer while we were there. I have been in hospitals in South Africa many many times but the treatment in this hospital was excellent!!!! Everybody tried to speak to me in English and if they could not went to call somebody that could, The nurses were great and I enjoyed my stay there very much.",9 months ago,0
DRK-Krankenhaus Clementinenhaus,4.1,178,"Lützerodestraße 1, 30161 Hannover",4,Everything Top !,3 months ago,1
DRK-Krankenhaus Clementinenhaus,4.1,178,"Lützerodestraße 1, 30161 Hannover",4,The nurses etc were really lovely and looked after me so well before during and after my operation. Also due to the fact I'm new in hannover and so the speak very much german right now they all tried their very best with speaking english to me...some that couldn't still tried! Really lovely hospital!!,3 years ago,3
DRK-Krankenhaus Clementinenhaus,4.1,178,"Lützerodestraße 1, 30161 Hannover",5,Top Service 👍,a year ago,0
DRK-Krankenhaus Clementinenhaus,4.1,178,"Lützerodestraße 1, 30161 Hannover",4,"(Translated by Google) I've been there twice in a very short time. From the reception area, doctors and nursing staff to cleaning, a great team. My station was 2b. I can only recommend this clinic. Even in stressful situations, the nursing staff was always friendly. I felt very comfortable there, as far as you can tell. I recommend this house to others. Thank you for everything.

(Original)
Ich bin zweimal dort gewesen , innerhalb von kürzester Zeit. Vom Empfangsbereich ,Ärzte, über Pflegepersonal bis hin zur Reinigung durch weg ein super Team.  Meine Station war 2b. Ich kann diese Klinik nur empfehlen. Selbst in stressigen Situationen blieb das Pflegepersonal immer freundlich.  Ich habe mich dort sehr wohl gefühlt, so weit man es sagen kann. Ich empfehle dieses Haus weiter. Danke für alles.",2 weeks ago,0
DRK-Krankenhaus Clementinenhaus,4.1,178,"Lützerodestraße 1, 30161 Hannover",4,"(Translated by Google) Have been to the ER several times now. It depends on how full it is and how strong the emergency or the complaints are. The staff is very nice and it makes every effort that everything runs fast. As I said, emergencies occur.

(Original)
Waren jetzt schon paar Mal in der Notaufnahme. Es kommt darauf an wie voll es ist und wie stark der Notfall bzw. die Beschwerden sind. Das Personal ist sehr nett und es wird sich bemüht das alles schnell läuft. Wie gesagt Notfälle gehen vor.",a year ago,3
DRK-Krankenhaus Clementinenhaus,4.1,178,"Lützerodestraße 1, 30161 Hannover",4,"(Translated by Google) An insanely friendly hospital.
I've been there twice now and would go again and again.
Top for care! Even the food was great.

(Original)
Ein wahnsinnig freundliches Krankenhaus.
Ich war jetzt 2 x dort und würde immer wieder gehen.
Top zur Pflege! Sogar das Essen war super.",2 weeks ago,0
DRK-Krankenhaus Clementinenhaus,4.1,178,"Lützerodestraße 1, 30161 Hannover",5,"(Translated by Google) Corona requirements were implemented well.
Very professional

(Original)
Corona Auflagen wurden toll umgesetzt.
Sehr professionell",3 weeks ago,0
DRK-Krankenhaus Clementinenhaus,4.1,178,"Lützerodestraße 1, 30161 Hannover",4,"(Translated by Google) I can only report on the outpatient radiological area of ​​the X-ray practice ""Am Marstall"". I was here for an MRI in 2020.

Positive:

- Nice personel
- No question remains unanswered
- Corona protective measures good
- Treatment was good

Negative:

- Longer waiting time, although there were few patients. But I've already seen worse.
- The idea that you can only get in through the back entrance is not bad, but not very useful if people gather at the main entrance and the way from the main entrance to the reception is shorter than from the back entrance. But I don't know all the reasons either.

Conclusion: Everything so far great for the radiological area. The negative points are more of a constructive criticism.

(Original)
Ich kann hier nur von dem ambulanten radiologischen Bereich der Röntgenpraxis ""Am Marstall"" berichten. Ich war im Jahr 2020 wegen einem MRT hier.

Positiv:

- Nettes Personal
- Keine Frage bleibt offen
- Corona Schutzmaßnahmen gut
- Behandlung war gut

Negativ:

- Längere Wartezeit, obwohl wenig Patienten da waren. Da habe ich aber schon schlimmeres erlebt.
- Die Idee, dass man nur durch den Hintereingang rein kommt, ist nicht schlecht, jedoch nicht sehr sinnvoll, wenn am Haupteingang Menschen sich sammeln und auch der Weg vom Haupteingang kürzer zur Rezeption ist, als von dem Hintereingang. Aber da kenne ich auch nicht alle Gründe.

Fazit: Für den radiologischen Bereich alles soweit prima. Die negativen Punkte sind eher kontruktive Kritik.",a week ago,0
