Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
Helios Klinikum Hildesheim,3.2,307,"Senator-Braun-Allee 33, 31135 Hildesheim",5,The nurses and doctors were nice and caring.  I felt well cared for and like a person instead of a name on a file.  Thank you!,a year ago,0
Helios Klinikum Hildesheim,3.2,307,"Senator-Braun-Allee 33, 31135 Hildesheim",1,Bad Services. Wait for 3 hours with no doctor call.,a year ago,1
Helios Klinikum Hildesheim,3.2,307,"Senator-Braun-Allee 33, 31135 Hildesheim",5,"(Translated by Google) Big compliments to station L2!

And I'm not just saying that because I worked there.
I'm from Dr. Ilbagian had an operation and was then on the L2 for 2 nights. Everything went so well, the team is incredibly nice and really cares. The new building is also quite modern.
Thank you so much!

(Original)
Großes Lob an die Station L2!

Und das sage ich nicht nur, weil ich dort arbeitete.
Ich bin von Dr. Ilbagian operiert worden und war dann 2 Nächte auf der L2. Alles hat so gut geklappt, das Team ist unglaublich nett und kümmert sich wirklich. Der Neubau ist auch recht modern.
Vielen lieben Dank!",a week ago,0
Helios Klinikum Hildesheim,3.2,307,"Senator-Braun-Allee 33, 31135 Hildesheim",4,"(Translated by Google) Hello can only write something as a VISITOR. A very large clean structured building. It is well lit inside. Very nice and helpful professional staff. You can get lost in the building. Parking is available for a fee, but if you don't take a ticket or cover parking time, it becomes really expensive.

(Original)
Hallo kann nur als BESUCHER was schreiben. Ein sehr großes sauberes strukturiertes Gebäude. Innen ist es gut ausgeleuchtet. Sehr nettes und hilfsbereites Fachpersonal. Man kann sich doch schon verlaufen in dem Gebäude. Parkplätze sind kostenpflichtig vorhanden, doch wenn man kein Ticket zieht oder parkzeit überzieht wird es richtig Teuer.",a year ago,3
Helios Klinikum Hildesheim,3.2,307,"Senator-Braun-Allee 33, 31135 Hildesheim",1,"(Translated by Google) Worst clinic in the region with a dubious culture. Exploitation and exploitation of employees is even spoken of in specialist circles. We gave birth to our son here, it was a disaster from A to Z.

(Original)
Schlechteste Klinik in der Region mit unseriöser Kultur. Selbst in Fachkreisen wird von Ausbeutung und Ausnutzung der Mitarbeiter gesprochen. Haben hier unseren Sohn geboren, es war eine Katastrophe von A bis Z.",a month ago,3
Helios Klinikum Hildesheim,3.2,307,"Senator-Braun-Allee 33, 31135 Hildesheim",1,"(Translated by Google) Age never again I'll go there I waited over 5 hours and then didn't feel like waiting anymore and just left

(Original)
Alter nie wieder geh ich dorthin ich habe über 5 Stunden gewartet und aber hatte dan keine Lust mehr zu warten und bin einfach gegangen",2 weeks ago,0
Helios Klinikum Hildesheim,3.2,307,"Senator-Braun-Allee 33, 31135 Hildesheim",5,"(Translated by Google) The doctors were all very nice and also very competent! WiFi and headphones for the screen were free.
You can even receive vouchers for dinner and breakfast so that you can eat out in the canteen.
Everything very modern and nicely furnished.
Unfortunately, the food rarely met my taste, but I expected that 😅
The nurses were so empathetic. Thank you!!!

(Original)
Die Ärzte sind alle sehr nett gewesen und auch sehr kompetent! WLAN und Kopfhörer für den Bildschirm waren kostenlos.
Zum Abendessen und Frühstück kann man sogar Gutscheine empfangen, sodass man in der Kantine essen gehen darf.
Alles sehr modern und schön eingerichtet.
Das Essen traf trotzdem leider nur selten mein Geschmack, aber das habe ich schon erwartet 😅
Die Krankenschwestern waren so einfühlsam. Danke!!!",a year ago,1
Helios Klinikum Hildesheim,3.2,307,"Senator-Braun-Allee 33, 31135 Hildesheim",5,"(Translated by Google) We gave birth to our son on November 22nd, 2020 in the hospital due to my previous history of a planned caesarean section. An incredibly dead team in the maternity ward and delivery room. Kudos to the midwife saskia ❤ after a few complications with the baby after the birth he had to go to the neo where I was 2 hours after the birth and was looked after very nicely. The sisters really took a lot between themselves and the little man was allowed one day later even to my room. The nurses and midwives looked after us so well, even with the quiet that was a disaster at the beginning, always nice and calm and with a lot of time. Also very, very loving with the little ones ❤The rooms are super clean and modern. If I had another child I would have it back here anytime. Thank you for everything, despite the circumstances, we had a great birth experience thanks to all of you

(Original)
Wir haben am 22.11.2020 unseren Sohn dort geboren im Krankenhaus durch meine Vorgeschichte ein geplanter Kaiserschnitt.  Ein unglaublich totes Team auf der Entbindungs Station und Kreißsaal. Großes Lob an die hebamme saskia ❤ nach einigen Komplikationen beim Baby nach der Geburt musste er auf die neo wo ich 2 Stunden nach der Geburt auch war und super lieb betreut wurde .die Schwestern haben sich echt viel zwit genommen und der kleine Mann durfte ein Tag später sogar schon zu mir ins Zimmer. Die Schwestern und Hebammen haben uns so super betreut auch mit dem stillen was anfangs ne Katastrophe  war,  immer nett und ruhig und mit viel Zeit.  Auch sehr sehr liebevoll mit den kleinen ❤Die Zimmer sind super sauber und modern eingerichtet.  Wenn ich nochmal ein Kind bekommen würde würde ich es wieder hier kriegen jederzeit . Vielen Dank für alles trotz der Umstände hatten wir dank euch allen ein tolles geburts Erlebnis",a week ago,0
Helios Klinikum Hildesheim,3.2,307,"Senator-Braun-Allee 33, 31135 Hildesheim",1,"(Translated by Google) The crew of this hospital could have their shoes soled while walking ... a cheek to have to wait an hour in the emergency room. The name should be changed ...

When I asked why it would take so long, I got the answer: They can't do more than work hin to which I, if people were to work here, it wouldn't take that long ...

The Oberhammer was another patient who was waiting in the waiting area 2 hours beforehand ... 2 doctors with 2 treatment rooms were not able to treat the 4 patients with us.

And then the saying with the ""more than we can work"" 😂😂 poor poor bunch!

(Original)
Der Besatzung dieses Krankenhauses könnte man im gehen die Schuhen besohlen...eine Frechheit in der Notaufnahme einen Stunden warten zu lassen. Die Bezeichnung sollte geändert werden...

Auf meine Frage hin wieso es solange dauern würde, bekam ich die Antwort : mehr als arbeiten können sie nicht😂😂😂daraufhin ich, wenn hier gearbeitet werden würde, täte es nicht solange dauern...

Der Oberhammer war ein anderer Patient, der schon 2 Stunden vorher im Wartebereich wartete...2 Ärzte mit 2 Behandlungsräume waren nicht in der Lage die insgesamt 4 Patienten mit uns gezählt, zu behandeln.

Und dann der Spruch mit dem „mehr als arbeiten können wir nicht“😂😂 armseliger   armseliger Haufen !!!",6 months ago,7
Helios Klinikum Hildesheim,3.2,307,"Senator-Braun-Allee 33, 31135 Hildesheim",4,"(Translated by Google) Many thanks to the super nice and competent team at A3. Many thanks to the hand surgery doctors who put my finger back together.
I felt very well taken care of.
The only downside is unfortunately the cleanliness. In the case of floors in particular, this borders on pure redistribution of dirt.

(Original)
Vielen Dank an das super nette und kompetente Team der A3. Vielen Dank den Ärzten der Handchirurgie, die meinen Finger wieder zusammen gebaut haben.
Ich fühlte mich sehr gut versorgt.
Einziger Minuspunkt ist leider die Sauberkeit. Vor allem bei den Fußböden grenzt das an pure Schmutzumverteilung.",5 months ago,1
