Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
Herzogin Elisabeth Hospital,4.2,140,"Leipziger Str. 24, 38124 Braunschweig",5,"TOP-Hospital .. . TOP-Ärzte ... TOP-Personal :
Der Ärztin Frau Dr. Musiot und dem Arzt Herr Dr. Wanschura sei herzlich an dieser Stelle gedankt. Ebenso dem medizinischen Personal auf der Station E im Erdgeschoss. Mit Kompetenz, Einsatz und medizinischem Know-How haben Sie das Leben meiner Mutter gerettet. Mehr ist dem - glaube ich - nicht hinzuzufügen, außer:  Ich danke Ihnen von Herzen !",2 days ago,0
Herzogin Elisabeth Hospital,4.2,140,"Leipziger Str. 24, 38124 Braunschweig",4,"(Translated by Google) Great hospital, but I'd rather be healthy. Was even here for a visit, can't judge the doctors etc.

(Original)
Tolles Krankenhaus,  trotzdem bin ich lieber gesund. War auch nur zu Besuch hier, kann die Ärzte usw. nicht beurteilen",a year ago,1
Herzogin Elisabeth Hospital,4.2,140,"Leipziger Str. 24, 38124 Braunschweig",5,"(Translated by Google) Everything was well organized in advance and was implemented accordingly well. I can’t imagine a better way of doing things and being placed in a hospital. From the doctors to the nurses to the cleaning staff, there is a consistently good, friendly and great mood / atmosphere. This is how it should be, although everyday life is certainly anything but relaxed and calm! The rooms, the food, technology, service, etc. everything was just great and contemporary. I felt safe and secure at all times! HEH really strong!

(Original)
Es war alles im Vorfeld super organisiert und wurde dementsprechend gut umgesetzt. Ich kann es mir vom Ablauf und der Unterbringung in einem Krankenhaus nicht besser vorstellen. Von den Ärzten, über die Pfleger/Schwestern bis zur Reinigungskraft kommt eine durchweg gute, freundliche und tolle Stimmung/Atmosphäre rüber. So sollte das sein, wobei der Alltag sicherlich alles andere als Entspannt und ruhig ist! Die Zimmer, das Essen, Technik, Service etc. alles einfach top und zeitgemäß. Ich fühlte mich zu jeder Zeit sicher und geborgen! HEH wirklich stark!",2 weeks ago,0
Herzogin Elisabeth Hospital,4.2,140,"Leipziger Str. 24, 38124 Braunschweig",5,"(Translated by Google) Very nice hospital, can be recommended to everyone.

(Original)
Sehr schönes Krankenhaus, kann man jedem empfehlen.",3 weeks ago,0
Herzogin Elisabeth Hospital,4.2,140,"Leipziger Str. 24, 38124 Braunschweig",5,"(Translated by Google) Everything is very good. Full points!

(Original)
Alles sehr gut. Volle Punktzahl!",2 years ago,4
Herzogin Elisabeth Hospital,4.2,140,"Leipziger Str. 24, 38124 Braunschweig",1,"(Translated by Google) The emergency room is a joke. Patients are forgotten they are not admitted at all (because it was during a shift change). The nurse and the nurses visibly annoyed and unfriendly. Let my daughter wait 3 hours with pain when she was 1.5 years old, even though there were only 2 other patients. And then it was said that it would take a long time if I could come back the next day just outrageous (by a nurse).

(Original)
Die Notaufnahme ist ein Witz. Patienten werden vergessen die werden erst garnicht aufgenommen (weil es während eines schicht wechsel war). Die Pflegerin und die pfleger sichtlich genervt und unfreundlich. Meine Tochter mit 1,5 Jahren mit Schmerzen 3 stunden warten lassen obwohl nur 2 weitere Patienten da waren. Und dann wurde gesagt das es noch sehr lange dauert ob ich am nächsten Tag wieder kommen könnte einfach nur unverschämt ( von einem pfleger).",a month ago,0
Herzogin Elisabeth Hospital,4.2,140,"Leipziger Str. 24, 38124 Braunschweig",5,"(Translated by Google) Thank you for the good care in the intensive care unit. Very nice nursing staff and a very good team of doctors. At the end of August, after an outpatient operation, I spent one night in the HEH clinic in the intensive care unit. There were complications after general anesthesia. The next morning I was allowed to go home again. The only downside was that every new patient is tested for Covid19. Nevertheless, everyone was very helpful.

(Original)
Vielen Dank für die gute Betreuung auf der Intensivstation. Sehr nettes Pflegepersonal,und ein sehr gutes Ärzte Team. Habe ende August nach einer Ambulanten Operation eine Nacht in der HEH- Klinik auf der Intensivstation Verbracht. Es gab Komplikationen nach der Vollnarkose. Am nächsten Morgen durfte ich wieder nachhause. Der einzige Nachteil war das, jeder neue Patient auf Covid19 getestet wird. Trotzdem waren alle sehr Hilfsbereit.",6 months ago,1
Herzogin Elisabeth Hospital,4.2,140,"Leipziger Str. 24, 38124 Braunschweig",5,"(Translated by Google) My doctor recommended that I be admitted to the hospital. Since I have had very bad experiences with admissions in hospitals, he recommended that I go to the HEH.

In fact, the emergency room was very friendly, yet professional. I was then admitted to Ward E. The nurses, doctors and all the other employees were very friendly. Two examinations were carried out, and here too the procedure was sensitive and yet professional.

During examinations, there is no waiting for hours in the hallway, but one is brought to the examination when it actually takes place. You will be informed about all results relatively promptly.

In my opinion, food is very good. You are interviewed and have a lot of influence on what arrives on the tablet.

From my point of view: a very good clinic where I took myself seriously, treated me kindly and felt that I was in good hands overall.

(Original)
Mein Arzt empfahl mir eine Einweisung ins Krankenhaus. Da ich sehr schlechte Erfahrungen mit Aufnahmen in Krankenhäusern abe, empfahl er mir, ins HEH zu gehen.

Tatsächlich war die Notaufnahme sehr freundlich und dennoch professionel. Ich wurde dann auf die Station E aufgenommen. Schwestern, Ärztinnen und alle anderen Angestellte waren sehr freundlich. Es erfolgten zwei Untersuchungen, und auch hier war das Vorgehen einfühlsam und doch professionell.

Bei Untersuchungen gibt es kein stundenlanges warten auf dem Flur, sondern man wird zu der Untersuchung gebracht, wenn sie auch tatsächlich stattfindet. Man wird über alle Ergebnisse relativ zeitnah informiert.

Essen ist aus meiner Sicht sehr gut. Man wird interviewt und hat sehr viel Einfluss auf das, was auf dem Tablett ankommt.

Aus meiner Sicht: ein sehr gutes Klinikum, in dem ich mich ernst genommen, freundlich behandelt und insgesamt gut aufgehoben gefühlt habe.",2 months ago,1
Herzogin Elisabeth Hospital,4.2,140,"Leipziger Str. 24, 38124 Braunschweig",5,"(Translated by Google) I felt very well cared for in this hospital. All of the employees were very friendly and courteous, despite the current situation. The doctors who treated me were both extremely competent and attentive. I can only recommend this hospital to everyone.

(Original)
Ich habe mich in diesem Krankenhaus sehr gut aufgehoben gefühlt . Alle Mitarbeiter waren sehr freundlich und zuvorkommend,  trotz der augenblicklichen Situation.  Die Ärztinnen , die mich behandelt haben,  waren beide äußerst kompetent und zugewandt . Ich kann nur jedem dieses Krankenhaus empfehlen.",8 months ago,1
Herzogin Elisabeth Hospital,4.2,140,"Leipziger Str. 24, 38124 Braunschweig",1,"(Translated by Google) Unfortunately you cannot give 0 stars.
Was in the emergency room on November 15th, 2020 because I was in severe pain. Greetings to the doctor in the emergency room, one can also have osteochondrosis and other diseases of the cervical spine at the age of 36. Were confirmed by an MRI.

Thank you for nothing
Magdalena Jordan

(Original)
Leider kann man keine 0 Sterne geben.
War am 15.11.20 Nachmittags in der Notaufnahme gewesen, weil ich starke Schmerzen hatte. Lieben Gruß an den Arzt in der Notaufnahme, man kann auch mit 36Jahren ostechondrose und weitere Erkrankungen an der HWS haben. Wurden durch ein MRT bestätigt.

Vielen Dank für nichts
Magdalena Jordan",4 months ago,4
