Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
KRH Klinikum Großburgwedel,3.2,112,"Fuhrberger Str. 8, 30938 Burgwedel",5,"This HOSPITAL is a wonder.nobody wishes to be a patient. In this place you will be well looked after .even under the pressure of cov the service is over and above the norm..I hope I dont need to come back .but if so, l know for sure .. would well looked after..😆😆a side note .thanks to the marlermister and team.Ive  been here for over a week and would like to add a complement for the physio team with there experance I can leave this house and enjoy a better quality of life .thankyou.",4 days ago,0
KRH Klinikum Großburgwedel,3.2,112,"Fuhrberger Str. 8, 30938 Burgwedel",5,"(Translated by Google) I am currently still here in the Großburgwedel Hospital. I would like to say thank you to all the sisters and carers who are doing a very difficult job here during this time. My thanks also go to Dr. Grotjahn.

(Original)
Ich liege zur Zeit noch hier im Krankenhaus Großburgwedel. Allen Schwestern und Pfleger , die einen sehr schweren Job in dieser Zeit hier verrichten, möchte ich vielen Dank sagen. Auch gilt mein Dank an Herrn Dr. Grotjahn.",3 weeks ago,0
KRH Klinikum Großburgwedel,3.2,112,"Fuhrberger Str. 8, 30938 Burgwedel",3,"(Translated by Google) As many have already noticed, it is just very old and run down.
Unfortunately also quite dirty.
The food, which should also serve a healing process, is not worth mentioning.
BUT, the technical content is just right.
Good, friendly and qualified staff.

(Original)
Wie viele schon feststellen konnten, es ist halt sehr alt und runtergekommen.
Leider auch ziemlich schmutzig.
Das Essen, welches ja auch einem Heilprozess dienen soll, ist nicht der Rede wert.
ABER, der fachliche Inhalt stimmt einfach.
Gutes, freundliches und qualifiziertes Personal.",3 months ago,0
KRH Klinikum Großburgwedel,3.2,112,"Fuhrberger Str. 8, 30938 Burgwedel",4,"(Translated by Google) I was in the urology department in October 2020 and can only report good things. Very nice and attentive nursing staff, from the reception to the nurses and nurses to the attending doctors. I felt that I was in good hands.

(Original)
Ich war im Oktober 2020 in der urologischen Abteilung und kann nur gutes berichten. Sehr nettes und aufmerksames Pflegepersonal, vom Empfang über die Schwestern und Pfleger bis zu den behandelnden Ärzten. Ich habe mich gut aufgehoben gefühlt.",a month ago,0
KRH Klinikum Großburgwedel,3.2,112,"Fuhrberger Str. 8, 30938 Burgwedel",1,"(Translated by Google) Unfriendly staff in the emergency room and very dirty, there was a lot of dried blood on the couches! Hygiene standards don't seem to exist here.

(Original)
Unfreundliches Personal in der Notfallaufnahme und sehr dreckig, an den Liegen klebte großflächig getrocknetes Blut! Hygienestandards scheint es hier nicht zu geben.",a year ago,6
KRH Klinikum Großburgwedel,3.2,112,"Fuhrberger Str. 8, 30938 Burgwedel",1,"(Translated by Google) The porter and the doorman are very unfriendly and incompetent. To this day I do not understand why the doorman has to find out about my medical history so that I can be forwarded to the porter. This then allows me to keep the appointment at the AUZ. In addition, interpreters are treated very unfriendly. On the statement that the patient cannot speak ""German"" well: ""Well, SHE has to go through there now - it is not a request concert!"" When the Dolmatcher asked whether you would like to translate: came a ""shrug"". The staff at the AUZ and the doctors, however, were nice, courteous and professional. Perhaps one should think about what is going on outside of care.

(Original)
Die Pförtnerin und die Türsteherin sind sehr unfreundlich und inkompetent. Bis heute verstehe ich nicht, warum die Türsteherin meine Krankheitsgeschichte erfahren muss, damit ich zur Pförtnerin weitergeschickt werde. Diese erlaubt mir dann den Termin im AUZ wahrzunehmen. Des Weiteren werden Dolmetscher sehr unfreundlich behandelt. Auf die Aussage, dass der Patient nicht gut ""deutsch"" sprechen kann: ""Naja, da muss SIE jetzt durch - ist kein Wunschkonzert!"" Auf die Aufsage des Dolmatchers , ob Sie denn gerne übersetzen möchte: kam ein ""Schulter zucken"". Das Personal im AUZ und die Ärzte waren hingegen nett, zuvorkommend und professionell. Vielleicht sollte man sich Gedanken machen, über das was außerhalb der Pflege unterwegs ist.",a month ago,0
KRH Klinikum Großburgwedel,3.2,112,"Fuhrberger Str. 8, 30938 Burgwedel",5,"(Translated by Google) On February 4, 21, an arthroscopy with partial resection, cartilage shaving, etc. was performed on my left knee.
When I see how great the process was, I can only say thank you. My first visit to Dr. Helms was without time pressure and with excellent advice and without promises that everything would be done after the operation, because osteoarthritis cannot be remedied that way. On 02.02.21, the OP preliminary talk including corona test was due, everything was explained to me well and could ask my questions without time pressure, thanks for that. I have to say one more thing to the sister (think Tanja) who carried out the Covid 19 test (which I was really scared of) with such calmness and calm, I thank you very much. Now to the OK on 02/04/21 by Dr. Frömel and the (A) doctor Meuer and was also explained to me during the operation, I give full marks, also here a big thank you.
I don't want to forget the anesthesiologists who did a great job either, thank you here too. The whole nursing team and doctors harmonize and that makes a lot of difference ... Two days later today, I can only laugh at my fear of the operation .. Crazy. Whether the building is old or new, whether the food could be better are questions that don't interest me personally, because I'm not there because of the building or the food but because of my health ... Maybe I should think about it ...

Sent from my iPad

(Original)
Am 4.02.21 wurde am linken  Knie bei mir eine Arthroskopie mit Teilresektion, Knorpelshaving usw. durchgeführt.
Wenn ich sehe wie Top der Ablauf war, kann ich nur danke sagen. Mein erster Besuch am 29.01.21 bei Herrn Dr. Helms war ohne Zeitdruck und mit einer exzellenten Beratung und ohne Versprechungen das nach der OP alles erledigt sei, denn Arthrose kann man nicht so beheben. Am 2.02.21, stand das OP Vorgespräch incl. Coronatest an, alles wurde mir gut erklärt und konnte ohne Zeitdruck meine Fragen stellen, Danke dafür. Noch eins muss ich sagen die Schwester (glaube Tanja) die bei mir den Covid 19 Test (vor dem hatte ich echt Angst) mit solch einer Gelassenheit und Ruhe durchgeführt hat, danke ich ganz herzlich. Nun zur OK die am 04.02.21 von Dr. Frömel und der (A) Ärztin Meuer durchgeführt und auch während der OP mir erläutert wurde, gebe ich volle Punktzahl, auch hier ein grosses Danke.
Vergessen will ich auch die Anästhesieärzte die einen tollen Job gemacht hatten auch nicht, eine Danke auch hier. Das ganze Pflegeteam  und Ärzte harmonieren und, dass macht eine Menge aus... Heute zwei Tage später, kann ich nur über meine Angst vor der OP lachen.. Irre. Ob das Gebäude alt oder neu ist, ob das essen besser sein könnte sind Fragen die mich persönlich nicht interessieren , da ich nicht wegen dem Gebäude oder Essen da bin sondern wegen meiner Gesundheit... Vielleicht sollte mal darüber nachdenken...

Von meinem iPad gesendet",a month ago,3
KRH Klinikum Großburgwedel,3.2,112,"Fuhrberger Str. 8, 30938 Burgwedel",5,"(Translated by Google) We have been there so many times. Always very good and professional treatment. Today I received an emergency room after an hour. We only go there (my husband is a little unlucky 🙄😉) ...

(Original)
Wir waren schon so oft dort. Immer sehr gute und fachgerechte Behandlung. Heute war ich nach einer Stunde Notaufnahme versorgt. Wir fahren nur noch dorthin (mein Mann ist ein kleiner Pechvogel 🙄😉)...",7 months ago,0
KRH Klinikum Großburgwedel,3.2,112,"Fuhrberger Str. 8, 30938 Burgwedel",3,"(Translated by Google) The doctors and nurses in gynecology are really super friendly, competent and empathetic, even in times of COVID-19. But what really scares me off are the two ladies downstairs at the reception (07.12.2020 8:00 a.m.) who are really unfriendly, not emphatic and certainly not competent I was sent extremely unfriendly across the house to drive back to E. and waiting hours for my COVID-19 smear as a pregnant woman standing rather ugly I was not offered a chair because it would block the way and the distance could not be maintained, I waited a total of 1 1/2 hours.

(Original)
Die Ärzte und Schwestern gerade auf der Gynäkologie sind wirklich super freundlich, kompetent und einfühlsam auch in Zeiten von COVID-19. Was mich aber sehr abschreckt sind die beiden Damen unten am Empfang (07.12.2020 8:00 Uhr) die wirklich unfreundlich, nicht emphatisch und erst recht nicht kompetent sind ich wurde extrem unfreundlich quer durchs Haus geschickt um dann doch wieder zurück zu fahren auf E und Stunden auf meinen COVID-19 Abstrich zu warten als Schwangere im stehen eher unschön ein Stuhl wurde mir nicht angeboten da es ja den Weg versperren würde und der Abstand nicht geleistet werden kann, ich habe insgesamt 1 1/2h gewartet.",3 months ago,3
KRH Klinikum Großburgwedel,3.2,112,"Fuhrberger Str. 8, 30938 Burgwedel",1,"(Translated by Google) The emergency room is a disaster, the staff was rude and blasphemed about the patients. (Could hear my companion in the waiting area), the doctors were super unfriendly and grumbled at me, what would occur to me to drive to the emergency room. Was then sent home without much treatment. The treatment room was dirty and the furnishings looked like nothing had been updated since the 90s. In summary, I would not recommend the emergency room, it would be better to make the trip and go to Hanover, Celle or Peine.

(Original)
Die Notaufnahme ist eine Katastrophe, das Personal war unfreundlich und haben über die Patienten gelästert. ( Konnte meine Begleitung im Warte Bereich hören), Die Ärzte war super unfreundlich und maulte mich an, was mir einfallen würde in die Notaufnahme zu fahren. Wurde dann ohne groß behandelt zu werden nach Hause geschickt. Der Behandlungsraum war dreckig und die Einrichtung sah so aus als ob man seit den 90er nichts erneuert. Zusammengefasst würde ich die Notaufnahme nicht empfehlen, lieber sollte man den Weg machen und nach Hannover, Celle oder Peine fahren.",5 months ago,0
