Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
KRH Klinikum Lehrte,3.3,87,"Manskestraße 22, 31275 Lehrte",4,"(Translated by Google) My father was admitted to the intensive care unit in this hospital. The staff did everything to save him. Thanks alot! You are angels on earth.
One star, because the communication wasn't so good and some of the sisters were really unfriendly.

(Original)
Mein Vater ist in diesem KH in die Intensivstation eingeliefert worden. Das Personal hat alles getan um.ihn zu retten. Vielen vielen Dank! Ihr seid Engel auf Erden.
Einen Stern Abzug, weil die Kommunikation nicht so gut war und manche Schwestern echt unfreundlich waren.",a month ago,0
KRH Klinikum Lehrte,3.3,87,"Manskestraße 22, 31275 Lehrte",5,"(Translated by Google) Station 4 is great. I came to the emergency room tonight for heart problems. All nice and professional great. Station 4 so far only just nice sister carers and doctors met.

(Original)
Station 4 ist super. Ich bin heute Nacht in die Notaufnahme gekommen wegen Herzproblemen. Alle nett und fachlich super. Station 4 bisher auch nur nette Schwester Pfleger und Ärzte kennengelernt.",a year ago,2
KRH Klinikum Lehrte,3.3,87,"Manskestraße 22, 31275 Lehrte",5,"(Translated by Google) Everyone was super nice and helpful. Despite the spontaneous appointment, they took their time and answered questions. The X-ray department is really great.

(Original)
Alle super nett und hilfsbereit. Trotz spontanem Termin wurde sich Zeit genommen und Fragen beantwortet. Die Röntgenabteilung ist wirklich spitze.",a month ago,0
KRH Klinikum Lehrte,3.3,87,"Manskestraße 22, 31275 Lehrte",5,"(Translated by Google) When I read all of this I don't come here for dinner or anything! Thank you for the successful intervertebral disc surgery! I would like to thank Dr Freimann and the nursing staff at the 6th Greetings

(Original)
Wenn ich das alles hier lese. Ich komme hier nicht zum Essen oder sonst was! Danke für die gelungene Bandscheiben OP! Ich danke herzlichst Dr Freimann und dem Pflegepersonal an der 6. Liebe Grüße",2 months ago,2
KRH Klinikum Lehrte,3.3,87,"Manskestraße 22, 31275 Lehrte",5,"(Translated by Google) My husband was operated on by Dr Remerey in October 2016. Complicated fracture of the calcaneus. The operation went very well. He stayed in the hospital for 12 days. The sisters and carers were all very kind and considerate. The doctors were also very friendly. My husband felt very comfortable in the clinic. One can only recommend this clinic.

(Original)
Mein Mann wurde im Oktober 2016 von Dr.Fremerey operiert. Komplizierter Fersenbeinbruch.Die OP verlief sehr gut. Er blieb 12 Tage im Krankenhaus . Die Schwestern und Pfleger waren alles sehr lieb und rücksichtsvoll. Auch die Ärzte waren sehr freundlich. Mein Mann hat sich in der Klinik sehr wohl gefühlt. Man kann diese Klink nur weiterempfehlen.",a month ago,0
KRH Klinikum Lehrte,3.3,87,"Manskestraße 22, 31275 Lehrte",5,"(Translated by Google) From the registration to the nurse, carers etc. everything was great.
Excellent care, requests are taken into account despite the obvious stress. There should actually be 6 stars for that! Special thanks to head physician Dr. Thomas Menzel, it couldn't be better ..

(Original)
Von der Anmeldung bis zur Krankenschwester, Pflegern etc. alles super.
Hervorragende Betreuung, auf Wünsche wird eingegangen trotz des offensichtlichen Stress Aufkommens. Dafür müßte es eigentlich 6 Sterne geben! Besonderen Dank an Chefarzt Dr. Thomas Menzel, besser geht nicht..",3 months ago,1
KRH Klinikum Lehrte,3.3,87,"Manskestraße 22, 31275 Lehrte",5,"(Translated by Google) Many thanks again to the team at station 6. The stay was characterized by friendliness, warmth and helpfulness. What you get as a patient is the great working atmosphere there, even under the difficult conditions of a pandemic.
Only the food was a joke, but the staff can't help it.

(Original)
Vielen lieben Dank nochmals an das Team von Station 6. Der Aufenthalt war geprägt von Freundlichkeit, Herzlichkeit und Hilfsbereitschaft. Das was man als Patient mitbekommt ist das tolle Betriebsklima dort, selbst unter den erschwerten Bedingungen einer Pandemie.
Einzig das Essen war ein Witz, aber dafür können die Mitarbeiter ja nichts.",9 months ago,0
KRH Klinikum Lehrte,3.3,87,"Manskestraße 22, 31275 Lehrte",5,"(Translated by Google) I couldn't complain. Everyone was very nice, no matter which ward I was on. And you could eat the food too. The rooms and the bathroom were ALWAYS cleaned.

(Original)
Ich konnte nicht klagen. Alle sehr nett gewesen,egal auf welcher Station ich gelegen habe. und das essen konnte man auch essen.die Zimmer sowie das Bad wurde IMMER gesäubert.",7 months ago,0
KRH Klinikum Lehrte,3.3,87,"Manskestraße 22, 31275 Lehrte",2,"(Translated by Google) Inadequate examination, no clear result, hardly any response to fears on the part of the doctor. The carer was very nice and professional, that's why the 2 stars.

(Original)
Unzureichende Untersuchung, kein klares Ergebnis, kaum Eingehen auf Ängste seitens der Ärztin. Der Pfleger war sehr nett und professionell, deshalb die 2 Sterne.",5 months ago,0
KRH Klinikum Lehrte,3.3,87,"Manskestraße 22, 31275 Lehrte",4,"(Translated by Google) We often have to go to the hospital here to provide emergency care for close relatives. While we had some bad experiences with the doctors a while ago, the situation has improved considerably recently. Perhaps the discussion about the preservation of this house contributed to this. The doctors have become much more accessible and friendly. We also have no complaints about the thoroughness of the care. We were even provided with hot coffee by the administrative staff while waiting in the emergency room. A gentleman at the reception counter is particularly nice (the gentleman with the bare headstyle is meant), which we have never experienced otherwise. Please continue!

(Original)
Wir müssen hier des öfteren zur Notfallversorgung einer nahen Angehörigen das Krankenhaus aufsuchen. Während wir noch vor einiger Zeit schlechte Erfahrungen vor allem mit den Ärzten gemacht haben, hat sich die Situation in letzter Zeit wesentlich gebessert. Vielleicht hat ja die Diskussion um den Erhalt dieses Hauses dazu beigetragen. Die Ärzte sind jetzt viel zugänglicher und freundlicher geworden. An der Gründlichkeit der Versorgung haben wir auch nichts auszusetzen. Wir wurden sogar bei der Wartezeit in der Notaufnahme mit heißem Kaffee vom Verwaltungspersonal versorgt. Besonders nett ist ein Herr am Empfangstresen (der Herr mit der blanken Kopffrisur ist gemeint), was wir sonst anderweitig noch nicht erlebt haben. Bitte weiter so!",9 months ago,1
