Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
Krankenhaus Lindenbrunn,2.7,44,"Am Lindenbrunn 1, 31863 Coppenbrügge",1,"(Translated by Google) My father was there after a stroke in 2011 and was tied to his stomach and hands in bed, I didn't know at the time that this was forbidden. He was immobilized and parked in the wheelchair in the corridor. So the other patients could only be seen lying or sitting apathetically. That was the preliminary step to hell. When I read the latest reviews nothing has changed and it was 10 years ago that I was the case.

(Original)
Mein Vater war nach einem Schlagfall 2011 dort und wurde im Bett an Bauch und Händen fixiert, ich wusste damals nicht dass so was verboten ist. Er wurde ruhig gestellt, und wurde im Rollstuhl auf dem Gang geparkt. So sah man auch die anderen Patienten nur apathisch liegen oder sitzen. Das ist die Vorstufe zur Hölle gewesen. Wenn ich aktuelle Bewertungen lese hat sich daran nichts geändert und mein Fall ist 10 Jahre her.",2 weeks ago,1
Krankenhaus Lindenbrunn,2.7,44,"Am Lindenbrunn 1, 31863 Coppenbrügge",5,"(Translated by Google) My brother was there for 4 months on 2 different wards. He couldn't move. Staff is very friendly and accommodating. He was dressed and undressed every day, the nurses closed and opened windows for him, etc. Room is super big with the balcony. Staff is very friendly. Eating ... like in a hospital. :-) Unfortunately because of CORONA, the cafe was also closed. Delicious things were brought from home. Sisters always carried everything back and forth for information.

(Original)
Mein Bruder lag dort 4 Monaten auf 2 verschiedenen Stationen. Er konnte sich nicht bewegen. Personal ist sehr freundlich und vorkommen. Er war jeden Tag an- und ausgezogen, die Schwester haben Fenster für ihn zugemacht und geöffnet usw. . Zimmer ist super groß mit dem Balkon. Personal ist sehr freundlich.  Essen ... wie in einem Krankenhaus. :-)  Leider wegen CORONA war auch Cafe zu.  Leckeren Sachen waren von zu Hause mitgebracht. Schwester haben immer alles zur Information hin und zurück getragen.",2 months ago,1
Krankenhaus Lindenbrunn,2.7,44,"Am Lindenbrunn 1, 31863 Coppenbrügge",1,"(Translated by Google) My grandma was there for rehab after a brain operation. This hospital is just awful and unreasonable. By chance, I discovered fixations in her bed. When I asked the nurse and the doctor in charge, they felt caught. Because I asked about the court order. Without informing anyone, my grandma was fixed at night. Normally this clinic should have been reported.
Old people sat listlessly in the corridors (without bells) to make themselves known in an emergency. My grandmother often cried because the carers must have yelled at her and made statements like: We are happy when they are gone. I can only advise everyone to steer clear of this terrible facility

(Original)
Mein Oma war dort zur Reha nach einer Hirnoperation. Dieses Krankenhaus ist einfach nur schrecklich und unzumutbar. Durch Zufall entdeckte ich fixierungen in ihrem Bett. Als ich den Pfleger und die zuständige Ärztin darauf ansprach, fühlten diese sich ertappt. Denn ich fragte nach der richterlichen Anordnung. Ohne jemanden zu informieren, wurde meine Oma nachts fixiert. Normalerweise hätte man diese Klinik anzeigen müssen.
Alte Leute saßen teilnahmslos auf den Gängen (ohne Klingel) um sich im Notfall bemerkbar zu machen. Meine Oma weinte oft, weil die Pfleger sie wohl angeschrien haben und Aussagen wie : wir sind froh, wenn sie weg sind, kamen. Ich kann nur jedem raten, einen Bogen um diese schreckliche Einrichtung zu machen",a month ago,5
Krankenhaus Lindenbrunn,2.7,44,"Am Lindenbrunn 1, 31863 Coppenbrügge",1,"(Translated by Google) 0 stars! My mother was a patient there after a stroke in November 2020. Medical care was unfortunately a complete failure. It was only through my initiative that there were three phone calls to the doctor in charge. Once with a fixed date, once with an agreed time window, once spontaneously. On none of the phone calls did the doctor have my mother's patient files on hand. So he could not or would not give me any information about the medication administered, although this was a central issue for me. I could have made the phone calls with the porter, the information content would have been the same.

Only once did the doctor call me on his own initiative: when my mother suddenly felt considerably worse and he wanted my permission to have her admitted to hospital as an emergency. He suspected the cause of the bad condition was possible night cramps and thought about additional medication for treatment (more medication ...). Later I found out from the hospital's emergency room: the cause was a greatly reduced sodium level in the blood. Any family doctor with a small laboratory can find this out, the rehabilitation clinic was already overwhelmed here. In my opinion, the blood values ​​should have been checked continuously to prevent such a sharp drop. My mother died in the hospital three days later.

I had the feeling that the doctor and nursing staff came in handy when the second Corona wave came in, so they were able to prevent visits and thus evade any control by relatives.
With all due understanding for all the work on a ward: that one day my mother was accidentally put in the wrong patient bed and that this is only noticed because the nurse could not find the phone when I called, it doesn't work at all.

As I brought laundry over, I saw patients in wheelchairs sitting next to the entrance in a winter garden and relatives standing outside in front of it. My telephone request as to whether it would be possible to bring my mother in the wheelchair to the winter garden on another day with advance notice was refused by the nurse with the hint: ""Then everyone wants that"" ... it would have been the last chance to see my mother at least one more time before she died ... just sad.

The administration didn't work any better either. I have been sent contracts for treatment and laundry care. Some time later I was reminded of the laundry care contract, which I had long since sent. In the end, it turned out that not a single item of laundry was washed. After my mother died, I picked up bags of dirty laundry.

After the death of a patient, I would have expected the clinic to express their condolences and show the relatives the next steps. But not in Lindenbrunn. Here I took care of myself and made an appointment when I could pick up my mother's things (my mother had only been admitted to a hospital as an emergency, her things stayed in Lindenbrunn). When I asked, the head office told me that the custody account to which I had transferred money for telephone, laundry care, hairdressing, etc., will be automatically closed. But I had to remind you. The clerk spoke of being completely overworked. The money was then refunded about 6 weeks after my mother died. What happens if relatives do not know anything about the account and do not remember it?
A star must be awarded so that the rating can be published. But even this one star is too much. If you can, you should avoid this “clinic”.

(Original)
0 Sterne! Meine Mutter war nach einem Schlaganfall im November 2020 dort Patientin. Die medizinische Betreuung war leider ein kompletter Totalausfall. Nur durch meine Initiative kam es zu drei Telefonaten mit dem behandelnden Arzt. Einmal mit Festtermin, einmal mit vereinbartem Zeitfenster, einmal spontan. Bei keinem der Telefonate hatte der Arzt die Patientenakte meiner Mutter griffbereit. So konnte oder wollte er mir keine Auskunft zu den verabreichten Medikamenten geben, obwohl dies für mich ein zentrales Thema war. Die Telefonate hätte ich auch mit dem Pförtner führen können, der Informationsgehalt wäre der gleiche gewesen.

Nur einmal hat sich der Arzt von sich aus bei mir gemeldet: als es meiner Mutter plötzlich erheblich schlechter ging und er meine Genehmigung haben wollte, sie als Notfall in ein Krankenhaus einliefern zu lassen. Als Ursache für den schlechten Zustand vermutete er mögliche nächtliche Krämpfe und dachte über zusätzliche Medikamente zur Behandlung nach (noch mehr Medikamente…). Später erfuhr ich von der Notaufnahme des Krankenhauses: Ursache war ein stark abgesenkter Natriumgehalt im Blut. Das kann jeder Hausarzt mit kleinem Labor herausfinden, die Rehaklinik war hier schon überfordert. Meiner Meinung nach hätten die Blutwerte kontinuierlich überprüft werden müssen, um einem so starken Abfall vorzubeugen. Meine Mutter ist drei Tage später im Krankenhaus verstorben.

Ich hatte das Gefühl, dass Arzt und Pflegepersonal die zweite Corona- Welle ganz gelegen kam, so konnten sie Besuche unterbinden und sich somit einer Kontrolle durch die Angehörigen entziehen.
Bei allem Verständnis für die viele Arbeit auf einer Station: dass meine Mutter an einem Tag versehentlich in ein falsches Patientenbett gelegt wurde und dies erst bemerkt wird, weil die Krankenschwester das Telefon nicht finden konnte, als ich anrief, geht überhaupt nicht.

Als ich Wäsche vorbeibrachte sah ich, wie Patienten im Rollstuhl neben dem Eingang in einem Wintergarten saßen und Angehörige draußen davor standen. Meine telefonische Bitte, ob es möglich sei, meine Mutter im Rollstuhl an einem anderen Tag mit Vorankündigung in den Wintergarten zu bringen, wurde von der Krankenschwester abgelehnt mit dem Hinweis:  „dann wollen das alle“…. es wäre die letzte Chance gewesen, meine Mutter vor Ihrem Tod zumindest noch einmal zu sehen…einfach nur traurig.

Die Verwaltung hat auch nicht besser funktioniert. Mir wurden Verträge für die Behandlung und die Wäschepflege gesendet. Einige Zeit später wurde der Vertrag für die Wäschepflege angemahnt, den ich ja schon längst zugesandt hatte. Am Ende stellte sich heraus, dass kein einziges Wäschestück gewaschen wurde. Ich habe nach dem Tod meiner Mutter tütenweise verschmutzte Wäsche abgeholt.

Nach dem Tod einer Patientin hätte ich erwartet, dass die Klinik kondoliert und den Angehörigen die nächsten Schritte aufzeigt. Aber nicht in Lindenbrunn. Hier habe ich mich dann selbst gekümmert und einen Termin vereinbart, wann ich die Sachen meiner Mutter abholen konnte (meine Mutter war ja nur als Notfall in ein Krankenhaus eingeliefert worden, ihre Sachen sind in Lindenbrunn geblieben). Auf meine Frage wurde mir von der Zentrale gesagt, dass das Verwahrkonto, auf das ich Geld für Telefon, Wäschepflege, Friseur usw. überwiesen hatte, automatisch aufgelöst wird. Ich musste aber daran erinnern. Die Sachbearbeiterin sprach davon, völlig überlastet zu sein. Circa 6 Wochen nach dem Tod meiner Mutter war das Geld dann erstattet worden. Was passiert wohl, wenn Angehörige von dem Konto nichts wissen und nicht daran erinnern?
Ein Stern muss vergeben werden, damit die Bewertung veröffentlicht werden kann. Aber selbst dieser eine Stern ist zu viel. Wer kann, sollte einen großen Bogen um diese „Klinik“ machen.",a month ago,7
Krankenhaus Lindenbrunn,2.7,44,"Am Lindenbrunn 1, 31863 Coppenbrügge",1,"(Translated by Google) My husband was exposed to this horror for 3 months after a stroke last year. I can't say anything positive ... it was a complete disaster. I will probably never be able to talk him into rehab again. I can only agree with all the negative reviews, it was the same for us. I could write a novel .... thought about taking legal action but didn't have the energy. Never again this ""rehabilitation clinic""!

(Original)
Mein Mann war letztes Jahr nach einem Schlaganfall 3 Monate diesem Horror ausgesetzt. Ich kann nichts positives berichten....es war eine einzige Katastrophe. Ich werde ihn wohl nie wieder zu einer Reha überreden können. All den negativen Bewertungen kann ich nur zustimmen, uns erging es ebenso. Ich könnte einen Roman schreiben ....hatte überlegt rechtliche Schritte einzuleiten aber nicht die Energie dazu. Nie wieder diese "" Rehaklinik""!!!",4 months ago,8
Krankenhaus Lindenbrunn,2.7,44,"Am Lindenbrunn 1, 31863 Coppenbrügge",5,"(Translated by Google) I can only recommend both the medical and the nursing quality!

(Original)
Ich kann sowohl die medizinische als auch die pflegerische Qualität nur weiterempfehlen!!",2 months ago,0
Krankenhaus Lindenbrunn,2.7,44,"Am Lindenbrunn 1, 31863 Coppenbrügge",5,"(Translated by Google) By chance I read the reviews of the Lindenbrunn Hospital and was very surprised by the negative reviews. Perhaps it is because the chronically dissatisfied and whom you can't please anyway, express themselves more than others.
For a long time, I also took the great services at Lindenbrunn Hospital for granted and initially gave no rating. I want to do that now.

Both of my very old parents have been treated and rehabilitated repeatedly in the last few years after acute illnesses in Lindenbrunn Hospital. Thanks to the excellent work there, they were able to spend their retirement years in good quality of life in their familiar home environment. My parents were happy that they were given the chance to get well again with enough time and that they were supported by qualified employees.
All employees deserve a big thank you for this. Keep it up!

(Original)
Durch Zufall habe ich die Bewertungen über das Krankenhaus Lindenbrunn gelesen und war über die negativen Bewertungen doch sehr überrascht. Vielleicht liegt es daran, dass die chronisch Unzufriedenen und denen man es sowieso nicht recht machen kann, sich eben eher äußern als andere.
Die tollen Leistungen im Krankenhaus Lindenbrunn habe auch ich lange als selbstverständlich angesehen und zunächst keine Bewertung abgegeben. Das will ich nun nachholen.

Meine beiden hochbetagten Eltern wurden wiederholt in den letzten Jahren nach akuten Krankheitsereignissen im Krankenhaus Lindenbrunn behandelt und rehabilitiert. Dank der hervorragenden Arbeit dort, konnten sie anschließend in guter Lebensqualität ihren Lebensabend in ihrer gewohnten häuslichen Umgebung verbringen. Meine Eltern waren froh, dass ihnen die Chance gegeben wurde mit ausreichend Zeit wieder gesund zu werden und hierfür von qualifizierten Beschäftigten unterstützt zu werden.
Allen Mitarbeitern gebührt hierfür ein herzliches Dankeschön. Weiter so!",5 months ago,6
Krankenhaus Lindenbrunn,2.7,44,"Am Lindenbrunn 1, 31863 Coppenbrügge",1,"(Translated by Google) My husband was in this so-called rehab for 9 weeks after a stroke. He had severe pain in the catheter area from the start. He was not given any pain medication, but was called a troublemaker by the sisters. After weeks, a bladder infection was found in the Hameln hospital, and finally there was a biotic. There was no encouraging word in this ""institution"", if you asked for help, they said: you can do it on your own, or I am just temporary
The food was a disaster, you can't do everyone justice, but that was an impertinence. I feel sorry for the patients who are there in this Corona time, locked up and without vigilant relatives.
May God help you.

(Original)
Mein Mann war 9Wochen in dieser sogenannten Reha, nach einem Schlaganfall. Er hatte von Anfang an  starke Schmerzen im Katheterbereich. Er bekam keine Schmerzmittel, sondern wurde von den Schwestern als Querulant bezeichnet. Nach Wochen wurde im Krankenhaus Hameln eine Blasenenzündung festgestellt, da gab es endlich ein Biotikum. Es gab in dieser ""Anstalt "" kein aufmunterndes Wort, bat man um Hilfe, hieß es: das können Sie alleine, oder ich bin nur Aushilfe
Das Essen war eine Katastrophe, man kann nicht Jedem gerecht werden, aber das war eine Zumutung. Mir tun die Patienten leid, die in dieser Corona Zeit, abgeschlossen, und ohne wachsame Angehörige, dort sind.
Möge Ihnen Gott helfen.",3 months ago,8
Krankenhaus Lindenbrunn,2.7,44,"Am Lindenbrunn 1, 31863 Coppenbrügge",1,"(Translated by Google) The facility is not recommended. The food is unreasonable, some of the clinic staff is very unfriendly and the information for visitors is extremely poor. You are only banned from visiting because of Corona when you are at the reception and not beforehand in order to save yourself a long journey. Also at the reception the friendliness left a lot to be desired. In addition, some of the patients' private belongings are searched. The food is delivered and warmed up from far away. In fact, this facility is not a direct rehabilitation facility, but a hospital with a small rehab department. There are far better and friendlier alternatives.

(Original)
Die Einrichtung ist nicht zu empfehlen. Das Essen ist eine Zumutung, zum Teil ist das Klinikpersonal sehr unfreundlich und die Informationen für Besucher sind äußerst schlecht. Man erhält ein Besuchsverbot wegen Corona erst, wenn man an der Rezeption steht und nicht vorher, um sich einen langen Anreiseweg zu sparen. Auch an der Rezeption lässt die Freundlichkeit zu Wünschen übrig. Weiter werden zum Teil die privaten Sachen der Patienten durchsucht. Das Essen wird von weither angeliefert und aufgewärmt. Tatsächlich ist diese Einrichtung keine direkte Rehabilitationseinrichtung, sondern ein Krankenhaus mit einer kleinen Rehaabteilung. Es gibt weitaus bessere und freundlichere Alternativen.",4 months ago,5
Krankenhaus Lindenbrunn,2.7,44,"Am Lindenbrunn 1, 31863 Coppenbrügge",1,"(Translated by Google) After a 10-week hospital stay, my husband came to the Lindenbrunn Clinic as a wheelchair user for anemia and kidney failure for geriatric treatment. I don't want to talk about the location of the clinic ""in the open"", because that is unimportant for stroke and immobile patients and also not about the ""nice"" staff. During the restricted right to visit due to the pandemic, I have seen almost no one every time I've been there. When I entered the clinic, I felt like I was in a “ghost town”. Empty corridors, the registration area unoccupied, I often had to wait a long time until someone came to give me a new appointment for my next visit. My husband often told me that he had to wait a long time for someone to come to him when he rang the bell. A doctor was never seen either. Personally, I could not inquire about my husband's health from a doctor, only by phone. On Saturday, July 11th was the last time I saw my husband alive. He was lying motionless in his bed with obvious stroke symptoms, staring gaze, one half of his face paralyzed, unable to speak, pale, light sweat on his forehead, numb in his hands and feet. The nurse and the doctor on call told me that my husband had complained of chest pain the night before and that he was given a strong tranquilizer and was therefore tired. Weeping, I asked for immediate help for my husband, but they left him in this ""state"" under the pretext that he had nothing ""to worry about"". I will forever wonder why the doctor wanted to deceive me about my husband's critical condition. The symptoms were clear. On Sunday morning he closed his eyes forever. In the final report, the cause of death was ""He slept symptom-free on a tour at 1 am and was found lifeless in bed at 4 am."" This report is not true. I am convinced that the morphine injection was the trigger for his condition and that this was not recognized in time to be able to react quickly. The silence of the hospital staff and those responsible for this allegation strengthens my conviction. Unfortunately I will never find out the truth and I will not be able to prove my conviction. I don't want to either, because my husband is gone ... Everything is so mentally painful. I've lost confidence in nurses, doctors, and nurses. I fear what has happened will haunt me all my life.

(Original)
Mein Mann ist nach 10-wöchigem Krankenhaus-Aufenthalt wegen Anämie und Nierenversagen als Rollstuhlfahrer in die Klinik Lindenbrunn gekommen zur geriatrischen Behandlung. Ich möchte nicht über die Lage der Klinik „im Grünen“ sprechen, denn das ist unwichtig für Schlaganfall- und immobile Patienten und auch nicht über das „nette“ Personal. Während des eingeschränkten Besucherrechts aufgrund der Pandemie habe ich jedes Mal, wenn ich dort gewesen bin, fast niemanden gesehen. Als ich die Klinik betrat, hatte ich das Gefühl, mich in einer „Geisterstadt“ zu befinden. Leere Gänge, der Anmeldebereich unbesetzt, ich musste oft lange warten bis jemand kam, um mir einen neuen Termin für den nächsten Besuch zu geben. Mein Mann hat mir auch oft erzählt, dass er sehr lange warten musste, bis jemand zu ihm kam, wenn er geklingelt hatte. Ein Arzt war auch nie zu sehen. Persönlich konnte ich mich nicht bei einem Arzt über den Gesundheitszustand meines Mannes erkundigen, nur telefonisch. Am Samstag, den 11.07. habe ich meinen Mann zum letzten Mal lebend gesehen. Er lag reglos in seinem Bett mit eindeutigen Schlaganfall-Symptomen, starrer Blick, eine Gesichtshälfte gelähmt, konnte nicht sprechen, blass, leichter Schweiß auf der Stirn, taub in Händen und Füßen. Der Pfleger und der Bereitschaftsarzt sagten mir, dass mein Mann die Nacht zuvor über Brustschmerzen klagte und ihm eine starke Beruhigungsspritze verabreicht wurde und er daher müde sei. Weinend bat ich um sofortige Hilfe für meinen Mann, sie ließen ihn aber in diesem „Zustand“ liegen unter dem Vorwand er hätte nichts „Beunruhigendes“. Ich werde mich für immer fragen, warum der Arzt mich über den kritischen Zustand meines Mannes so täuschen wollte. Die Symptome waren eindeutig. Sonntag früh am Morgen schloss er für immer die Augen. Im finalen Bericht stand als Todesursache „Er schlief bei einem Rundgang um 1 Uhr noch beschwerdefrei und wurde dann um 4 Uhr leblos im Bett aufgefunden.“ Dieser Bericht entspricht nicht der Wahrheit. Ich bin der Überzeugung, dass die Morphium Spritze der Auslöser für seinen Zustand war und dies nicht rechtzeitig erkannt wurde, um schnell reagieren zu können. Das Schweigen des Klinikpersonals und der Verantwortlichen zu diesem Vorwurf stärkt meine Überzeugung. Die Wahrheit werde ich wohl leider nie erfahren und meine Überzeugung auch nicht beweisen können. Ich möchte es auch nicht mehr, denn mein Mann ist weg… Es tut seelisch alles so weh. Ich habe das Vertrauen in Pfleger, Ärzte und Krankenschwestern verloren. Ich fürchte das Geschehene wird mich mein Leben lang verfolgen.",4 months ago,8
