Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
Krankenhaus Marienstift gGmbH,3.9,86,"Helmstedter Str. 35, 38102 Braunschweig",5,"(Translated by Google) Moin, I don't know if someone from my family has thanked you. My father Gerd Jobst fell asleep with you on March 6, 2021 (station M3, room 207). You gave my father a dignified farewell.
We or I felt that we were in good hands with you in your house, despite the difficult situation. My thanks go to Dr. Prönneke who told my father to let go now. A great doctor who, like many others in the Salzgitter region, doesn't just have the numbers in his head. The nurses and nurses looked after my father really very well and patiently. Thanks for that. The ladies at the reception and at the Corona test also gave strength and were all very friendly. You have all done a great job and do it every day.
I wanted to write that from my soul.
Your motto fits 100% You are at the center of the work of our organization: People whom we carefully support in the spirit of Christian charity. We treat everyone in need with all the respect that human dignity requires because it is inviolable. That is the principle of action in everything we do. That's what we're here for.

Many thanks to all employees who helped my father during this time.
With kind regards, Siegfried Jobst (son)

(Original)
Moin, ich weiß nicht ob sich schon jemand von meiner Familie bei Ihnen bedankt hat. Mein Vater Gerd Jobst ist bei Ihnen am 6.3.2021 eingeschlafen (Station M3 Zimmer 207).Sie haben meinen Vater einen würdigen Abschied gegeben.
Wir bzw. ich habe mich bei Ihnen im Haus, trotz der schwierigen Situation gut aufgehoben gefühlt. Mein Dank geht an  Dr. Prönneke der meinem Vater gesagt hat, er soll nun langsam mal loslassen. Ein toller Arzt der nicht wie viele andere bei uns in der Region Salzgitter nur die Zahlen im Kopf haben. Die Schwestern und Krankenpfleger haben sich wirklich sehr gut und geduldig um meinen Vater gekümmert. Danke dafür. Auch die Damen an der Rezeption und beim Corona Test haben einen Kraft gegeben und waren alle sehr freundlich. Sie haben alle eine tolle Arbeit geleistet und leisten diese täglich.
Das wollte ich mir mal von meiner Seele schreiben.
Ihr Leitspruch passt zu 100%Sie stehen im Zentrum der Arbeit unserer Organisation: Menschen, die wir im Geiste christlicher Nächstenliebe achtsam unterstützen. Wir begegnen jedem Hilfebedürftigen mit allem Respekt, den menschliche Würde erfordert, weil sie unantastbar ist. Das ist das Prinzip des Handelns, in allem, was wir tun. Dafür gibt es uns.

Vielen Dank an alle Mitarbeiter die meinen Vater in der Zeit geholfen haben.
Mit lieben Grüßen Siegfried Jobst (Sohn)",5 days ago,0
Krankenhaus Marienstift gGmbH,3.9,86,"Helmstedter Str. 35, 38102 Braunschweig",5,"(Translated by Google) We can almost only report positively about our birth in the Marienstift. Both the doctor and the midwife did an incredibly great and loving job. So much effort was made to fulfill the wish for a natural birth. Only the anesthetist was an absolute disaster with regard to the subject of sensitivity and inappropriate comments. Technically, however, he did his job well.

(Original)
Wir können fast nur positiv von unserer Geburt im Marienstift berichten. Sowohl die Ärztin als auch die Hebamme haben wirklich unglaublich tolle und liebevolle Arbeit geleistet. Es wurde sich so darum bemüht den Wunsch nach einer natürlichen Geburt zu erfüllen. Einzig und alleine der Anästhesist war im Hinblick auf das Thema Feingefühl und unpassende Kommentare eine absolute Katastrophe. Fachlich hat er seinen Job jedoch gut gemacht.",3 months ago,0
Krankenhaus Marienstift gGmbH,3.9,86,"Helmstedter Str. 35, 38102 Braunschweig",5,"(Translated by Google) I gave birth to my second child there in December 2020. The care before, during and after the birth was great. I and my wishes were taken seriously. All midwives there are sensitive and understanding. The education was always comprehensive and the advice very human. I had such a self-determined birth. The midwife and doctor were a great team at the birth and they really supported me. I can recommend a delivery there and would give birth there again and again. The midwifery student Maren took special care of me and I would like to express my thanks to her.
The accommodation on the ward was perfectly fine and I think the nurses tried very hard here too. The circumstances with the pandemic do not make the work of the clinical staff any easier, and yet they always tried to support me with questions.

(Original)
Ich habe dort im Dezember 2020 per Einleitung mein zweites Kind entbunden. Die Betreuung vor, während und nach der Geburt war super. Ich und meine Wünsche wurden ernst genommen. Alle Hebammen dort sind feinfühlig und verständnisvoll. Die Aufklärung war stets umfassend und die Beratung sehr menschlich. Ich hatte so eine selbstbestimmte Geburt. Die Hebamme und der Arzt waren bei der Geburt ein großartiges Team, dass mich sehr unterstützt hat. Ich kann eine Entbindung dort empfehlen und würde immer wieder dort gebären. Besonders lieb umsorgt hat mich die Hebammenschülerin Maren, der ich hier auch noch meinen Dank aussprechen möchte.
Auf der Station war die Unterbringung vollkommen in Ordnung und ich finde, dass die Schwestern sich hier auch sehr bemüht haben. Die Umstände mit der Pandemie machen die Arbeit für das klinische Personal auch nicht leichter und trotzdem wurde stets versucht mich bei Fragen zu unterstützen.",2 months ago,0
Krankenhaus Marienstift gGmbH,3.9,86,"Helmstedter Str. 35, 38102 Braunschweig",5,"(Translated by Google) I am so happy that there is such a great KH in Braunschweig. I can only speak positively about my last stay, every single doctor or the nurses in the women's clinic treated me so well and are all really very nice and helpful.
And the nice thing about it, I really felt very, very comfortable there, especially during the times of Corona when you are alone in the hospital and are not allowed to see anyone.
I can really only recommend this clinic.

(Original)
Ich bin so froh das es es so ein tolles KH in Braunschweig gibt. Über meinen letzten Aufenthalt kann ich nur positiv sprechen,  jeder einzelne Arzt oder die Schwestern in der Frauenklinik haben mich so gut behandelt und sind alle wirklich sehr nett und hilfsbereit.
Und das schöne dazu, ich habe mich dort wirklich sehr sehr wohl gefühlt, auch gerade zu den Zeiten von Corona wo man auch alleine im KH ist und keinen empfangen darf.
Ich kann diese Klinik wirklich nur weiterempfehlen.",a month ago,0
Krankenhaus Marienstift gGmbH,3.9,86,"Helmstedter Str. 35, 38102 Braunschweig",2,"(Translated by Google) Women's clinic - diagnostic laparoscopy, especially endometriosis (outpatient?

During the preliminary examination, Ms. W. asked me whether I wanted the laparoscopy or my doctor, because my abdomen looked normal on the ultrasound. For a woman who has been through 10 years of suffering and for everyone else a completely inappropriate question. The preliminary talk and the operation were carried out by two different doctors. According to two gynecologists, the surgical report is not conclusive. This means that the endometriosis center cannot assess how extensive the renovation will be. Existing foci were not removed, a second operation was necessary. Conclusion: OP in this hospital superfluous. But the fault also lies with the FÄ, who referred me there. The operating room nurse complained about her suffering for 10 minutes (""Need coffee. I'm weak today. You have really bad veins."") The access had to be made twice because she couldn't manage it. The anesthesiologist was very nice and competent. In contrast to the OR nurse, very comforting. But also someone other than the doctor from the preliminary talk.

Praise for the organization of the processes, the friendliness of Sister Miriam and the double room.

Please do not have endometriosis diagnosed or treated here. Obviously not their area of ​​expertise.

(Original)
Frauenklinik - diagnostische Bauchspiegelung V.a. Endometriose (ambulant?

Bei der Voruntersuchung wurde ich von der Oberärztin Frau W. gefragt, ob ich die Laparoskopie wollte oder meine Ärztin, weil mein Unterleib im Ultraschall unauffällig aussah. Für eine Frau, die 10 Jahre Leidensweg hinter sich hat und auch für alle anderen eine völlig unpassende Frage. Vorgespräch und OP wurden von zwei verschiedenen Ärzten gemacht. OP-Bericht laut zwei Gynäkologen nicht aussagekräftig. Endometriosezentrum kann dadurch nicht einschätzen, wie umfangreich Sanierung werden wird. Vorhandene Herde wurden nicht entfernt, zweite OP notwendig. Fazit: OP in diesem KH überflüssig. Schuld liegt aber auch bei der FÄ, die mich dorthin überwiesen hat. OP-Schwester hat mir 10 Minuten ihr Leid geklagt (""Brauche Kaffee. Bin heute schwach. Sie haben ja wirklich schlechte Venen."") Zugang musste zweimal gelegt werden, weil sie es nicht hinbekommen hat. Añästhesist war sehr nett und kompetent. Im Gegensatz zur OP-Schwester sehr beruhigend. Aber auch ein anderer, als die Ärztin vom Vorgespräch.

Lob für die Organisation der Abläufe, die Freundlichkeit von Schwester Miriam und das Zweierzimmer.

Endometriose bitte nicht hier diagnostizieren oder therapieren lassen. Offensichtlich nicht deren Fachgebiet.",a week ago,0
Krankenhaus Marienstift gGmbH,3.9,86,"Helmstedter Str. 35, 38102 Braunschweig",2,"(Translated by Google) Most of the doctors are good, especially the team led by Dr. Prönneke and Ms. Dt. Giller, many thanks also to Dr. Müller and Dr. Mayer for your patience. The ward doctor on ward M1 is the good soul of the house.
Unfortunately the nursing staff breaks everything, refuses to work with the doctors, unfriendly and sometimes outrageous. If you are looking for it = break room.
I would like to emphasize Mefiziner really top - but if the good doctors are not there, it would be one of the worst hospitals in Germany. I find it particularly frightening that the unfriendly doctor is the ward doctor of the paliative ward.

(Original)
Die meisten Ärzte sind gut, vor allem das Team um Dr. Prönneke und Frau Dt. Giller, vielen Dank auch an Dr. Müller und Dr. Mayer für die Geduld.  Die Stationsärztin auf Station M1 ist die gute Seele des Hauses.
Leider macht das Pflegepersonal alles kaputt,  weigern sich mit den Ärzten zusammen zu arbeiten, unfreundlich  teilweise unverschämt.  Wenn man sie sucht = Pausenraum.
Ich möchte betonen Mefiziner wirklich Top - aber sollten die guten Ärzte nicht da sein wäre es eines der schlechtesten Krankenhäuser Bundesweit. Besonderest erschreckend finde ich das die unfreundliche Ärztin Stationsärztin der Paliativstation ist.",2 weeks ago,4
Krankenhaus Marienstift gGmbH,3.9,86,"Helmstedter Str. 35, 38102 Braunschweig",2,"(Translated by Google) Midwives in the delivery room super nice and courteous!
Nurses on the ward tend to be questionable, instead of looking after the patients, they prefer to sit in the nurses' room and drink coffee.
Unfortunately disappointing.

(Original)
Hebammen im Kreißsaal super lieb und zuvorkommend!
Schwestern auf der Station eher fragwürdig, anstatt sich um die Patienten zu kümmern sitzen diese lieber im Schwesternzimmer und trinken Kaffee.
Leider enttäuschend.",2 months ago,2
Krankenhaus Marienstift gGmbH,3.9,86,"Helmstedter Str. 35, 38102 Braunschweig",5,"(Translated by Google) Born here, great hospital. :)

(Original)
Hier geboren, supi Krankenhaus. :)",2 weeks ago,0
Krankenhaus Marienstift gGmbH,3.9,86,"Helmstedter Str. 35, 38102 Braunschweig",5,"(Translated by Google) I had my little daughter there at the end of June and I am very satisfied. Both the doctors and the midwives are very nice, and I would particularly like to thank schoolgirl Anne. She was there from the start and looked after me very well (even stayed until the end, even though she had already finished work long ago). Everyone on the ward was also very nice. So I definitely can't say anything bad, except a big thank you 💐💐

(Original)
Ich habe Ende Juni dort meine kleine Tochter bekommen und bin sehr zufrieden. Sowohl die Ärzte, als auch die Hebammen sind sehr nett.Ganz besonders möchte ich mich bei Schülerin Anne bedanken. Sie war von Anfang an dabei und hat sich sehr gut um mich gekümmert (ist sogar noch bis zum Ende geblieben, obwohl Sie schon längst Feierabend hatte). Auch auf der Station waren alle sehr nett. Also ich kann definitiv nichts schlechtes sagen,außer ein dickes Dankeschön 💐💐",8 months ago,1
Krankenhaus Marienstift gGmbH,3.9,86,"Helmstedter Str. 35, 38102 Braunschweig",1,"(Translated by Google) Short version: Arrived at the hospital with severe pain, my niece (13) had to do a Covid19 quick test. Well this one was positive. OK.
This led to panic in the carer who treated her. As a result, she was not even accepted for the actual treatment.
The nurse then wanted to do the PCR test.
After waiting again, the Lord came and said that there were no more tests and that it could not be treated.
She was turned back from the hospital. You should go to the family doctor first on Monday.

Does this hospital have no competence to treat patients with Covid19?
Of course, only Covid19 was positive on the referral to the family doctor.

So that means: if people are infected with Covid19 and have other complaints, they are not treated ???
Will only COVID19 be mentioned in order to keep the statistics stable or are the hospitals simply incompetent?

I say HOSPITALS because almost the same game pulled Salzdahlumer Strasse and Celler Strasse as well.

Everyone just wanted to get rid of them and not treat them.
The CHILD was shooed back and forth for hours.
Incredible system. For over a year the state has not been able to guarantee a structured process.

So I no longer wonder why so many people die.
The real problems are not dealt with at all because people are afraid of being infected with Covid19.

It is not only Covid19 that kills people, ignorance does not protect against death either.

I don't want to know what would have happened if we hadn't insisted on getting treatment.

So never again Marienstift!

(Original)
Kurzfassung: mit starken Schmerzen im Krankenhaus angekommen, musste meine Nichte (13) einen Covid19 schnelltest machen. Nun dieser war positiv. Ok.
Dies führte regelrecht zu Panik bei dem Pfleger der sie behandelt hat. Daraufhin wurde sie zur eigentlichen Behandlung gar nicht angenommen.
Daraufhin wollte der Pfleger den PCR Test machen.
Nach erneutem Warten kam dann der Herr und meinte, dass keine Tests mehr vorhanden sind und sie somit nicht behandelt werden kann.
Sie wurde vom Krankenhaus zurückgewiesen. Sie solle doch Montag erstmal zum Hausarzt.

Hat dieses Krankenhaus denn keine Kompetenz zur Behandlung von Patienten mit Covid19?
Auf der Überweisung zum Hausarzt stand dann natürlich nur Covid19 positiv.

Also heißt das: wenn Menschen mit dem Covid19 infiziert sind und dabei noch andere Beschwerden haben, diese nicht behandelt werden???
Wird dann nur COVID19 erwähnt, um die Statistik stabil zu halten oder sind die Krankenhäuser einfach inkompetent?

Ich sage KRANKENHÄUSER, da fast das selbe Spiel die Salzdahlumer Straße und auch die Celler Straße abgezogen hat.

Jeder wollte sie einfach loswerden und nicht behandeln.
Das KIND wurde stundenlang hin und her gescheucht.
Unglaubliches System. Seit über einem Jahr hat der Staat es nicht hinbekommen einen strukturierten Ablauf zu gewährleisten.

Daher wundere ich mich auch nicht mehr, warum so viele Menschen sterben.
Die eigentlichen Probleme werden gar nicht behandelt, da die Leute Angst haben sich mit Covid19 anzustecken.

Es ist nicht nur Covid19 das die Menschen umbringt, Unwissenheit schützt auch nicht vor dem Tod.

Ich will nicht wissen was passiert wäre, wenn wir nicht drauf bestanden hätten endlich eine Behandlung zu bekommen.

Also nie wieder Marienstift!",a month ago,3
