Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
Sana Klinikum Hameln-Pyrmont,2.5,277,"Saint-Maur-Platz 1, 31785 Hameln",1,Chronically understaffed,a year ago,0
Sana Klinikum Hameln-Pyrmont,2.5,277,"Saint-Maur-Platz 1, 31785 Hameln",4,"(Translated by Google) 5 days stay at the Corona time is exciting but what really bothered me here were the wheelchairs with luck you can find one with 2 footrests. Fortunately, I came here with 2 broken ankle joints, so walking on walking aids is very critical (means exit once a day for 1 hour when someone comes XD whether someone comes or not, but it's not up to the doctors or nurses) why the nurses don't get you out I don't know, probably because of Corona, but otherwise communication with the doctors is good, there was something confused about whether I am going to be operated on (2 screws for stabilization per foot) or not, but it was not so bad on a Sunday afternoon
The sisters are also almost all very competent but all very, very kind and friendly, get almost everything you need except a wheelchair that you can drive yourself

(Original)
5 Tage Aufenthalt zur Corona Zeit gibt spannendes aber was mich hier wirklich gestört hat waren die Rollstühle mit Glück findet man einen mit 2 Fußrasten. Ich bin zum Glück mit 2 gebrochenen sprunggelenken her gekommen also auf Gehhilfen laufen sehr kritisch (heißt Ausgang 1 mal am Tag für 1 Std wenn jemand kommt XD ob jemand kommt oder nicht liegt aber nicht an den Ärzten oder pflegern) warum die pfleger einen nicht raus schieben dürfen weiß ich nicht vlt wegen Corona aber sonst die Kommunikation mit den Ärzten ist gut es gab zwar etwas durch einander ob ich jetzt operiert werde (2 Schrauben zur Stabilisierung pro Fuß) oder nicht aber gut es war an einem sonntag nachmittag nicht so schlimm
Die Schwestern auch fast alle sehr kompetent aber alle sehr sehr lieb und freundlich bekommst fast alles was du brauchst ausser einen Rollstuhl den man selbst fahren kann",6 months ago,2
Sana Klinikum Hameln-Pyrmont,2.5,277,"Saint-Maur-Platz 1, 31785 Hameln",5,"(Translated by Google) Kudos to gastroenterology from Dr. Langner and station A4. I felt very professional and safe and I am very satisfied with the friendly nature of the staff and the warm treatment towards the patients. Thank you very much for that.

(Original)
Ein großes Lob an die Gastroenterologie von Dr. Langner und der Station A4. Ich habe mich sehr professionell und sicher aufgehoben gefühlt und bin sehr zufrieden mit der freundlichen Art des Personals und dem warmherzigen Umgang den Patienten gegenüber. Herzlichen Dank dafür.",3 weeks ago,0
Sana Klinikum Hameln-Pyrmont,2.5,277,"Saint-Maur-Platz 1, 31785 Hameln",5,"(Translated by Google) Thanks to the doctors, midwives and nurses in the delivery room and on the maternity ward. I had great obstetrics for the second time. My twin birth was normal and I was well looked after. I was completely satisfied with the support. The only thing to complain about would be the food, it could be a bit more extensive and warm dishes were better spiced.

(Original)
Danke an die Ärzte, Hebammen und Schwestern im Kreißsaal und auf der Geburtsstation. Ich hatte zum zweiten Mal eine tolle Geburtshilfe. Meine Zwillingsgeburt verlief normal und ich wurde bestens betreut. Ich war rundum zufrieden mit der Betreuung. Das einzige zu bemängeln wäre das Essen, es könnte etwas umfangreicher sein und warme Speisen besser gewürzt sein.",4 months ago,1
Sana Klinikum Hameln-Pyrmont,2.5,277,"Saint-Maur-Platz 1, 31785 Hameln",1,"(Translated by Google) Humanly and medically very questionable. The nurses in the emergency room did not care, they did not respond to you even after several attempts to talk. When I asked for help, because something was stuck in my throat, I was told that it couldn't be that bad and that nothing could be stuck there. My bolus obstruction was not recognized, i.e. an occlusion of the esophagus from eating due to an illness. To be at the mercy is not a nice feeling and then not to be taken seriously and to be sent home without help is even worse.

(Original)
Menschlich und medizinisch sehr fragwürdig. Man war den Schwestern in der Notaufnahme egal, es wurde auch nach mehreren Gesprächsversuchen nicht auf einen eingegangen. Auf die Bitte um Hilfe, da mir etwas im Hals steckte, wurde mir gesagt, dass es nicht so schlimm sein kann und da nichts stecken könnte. Meine Bolus Obstruktion wurde nicht erkannt, also ein Verschluss der Speiseröhre durch Essen auf Grund einer Erkrankung.  Ausgeliefert zu sein ist schon mal kein schönes Gefühl und dann nicht ernst genommen zu werden und ohne Hilfe nach Hause geschickt zu werden, noch viel schlimmer.",3 weeks ago,10
Sana Klinikum Hameln-Pyrmont,2.5,277,"Saint-Maur-Platz 1, 31785 Hameln",1,"(Translated by Google) Terrifying in human terms.
Starting with the staff. Is always in a bad mood, doesn't feel like doing her job and is just grumbling. I was able to gain a lot of experience there, I'm very grateful for that, but a lot of things are just below the belt line there.
Gastroenterology, radiology and central patient admission are excluded from my assessment. You can really learn a lot there. As you can read in many other reviews here, things are going wrong in the shop. At the end of the day, the best thing about the place is the food. Lg

(Original)
Menschlich gesehen erschreckend.
Angefangen beim Personal. Ist immer schlecht gelaunt, hat keine Lust auf ihren Beruf und sind nur am Meckern. Habe dort viele Erfahrungen sammeln dürfen, dafür bin ich auch sehr dankbar, aber viele Sachen sind dort einfach unter der Gürtel Linie.
Ausgenommen von meiner Bewertung ist die Gastroenterologie, Radiologie und die Zentralepatientenaufnahme. Dort kann man wirklich viel lernen. So wie auch in vielen anderen Rezensionen hier zu lesen, läuft in dem Laden einiges falsch. Das beste an dem Laden ist am Ende noch das Essen. Lg",6 months ago,5
Sana Klinikum Hameln-Pyrmont,2.5,277,"Saint-Maur-Platz 1, 31785 Hameln",2,"(Translated by Google) Recently admitted to Sana after dizziness and a brief faint at work. 10 minutes after arrival I was asked if I want to stay overnight or if I want to leave. At the time, no tests had been done and I didn't know what was wrong with me.

I got an infusion, waited 3 hours and got the information from another doctor that I should go from the emergency room to the waiting area because I was feeling better. When I was told that I still had accesses in the crook of my arm, I received the information that they will only be pulled when I actually leave.

Then at some point the emergency room doctor came and held out a slip of paper that I was asked to sign: ""Patient leaves the hospital against the advice of the doctors"" ... The doctor could not answer any questions about this because he was on the phone. He just waved it off. Shocked by it and because I didn't know what to do, I completely forgot about the additions. I then pulled it myself at home.

The 2nd star is only for the young trainee who offered a glass of water in between and independently inquired about the status of my blood values ​​and told me about it. Thanks for that!

Otherwise I always prefer the hospital in Gehrden in the future.

(Original)
Wurde kürzlich nach Schwindel und einer kurzen Ohnmacht auf der Arbeit ins Sana eingeliefert. 10 Minuten nach Ankunft wurde ich gefragt, ob ich über Nacht bleiben will oder gehen will. Zu dem Zeitpunkt wurden noch keinerlei Untersuchungen gemacht und ich wusste noch nicht, was mir fehlt.

Ich bekam eine Infusion, habe 3 Stunden gewartet und bekam von einem anderen Arzt die Info, ich solle von der Notaufnahme in den Wartebereich, weil es mir schon besser ginge. Auf den Hinweis, das ich noch Zugänge in der Armbeuge hatte, bekam ich die Info, die werden erst gezogen, wenn ich wirklich gehe.

Dann kam irgendwann der Arzt der Notaufnahme, hielt mir Zettel hin die ich unterschreiben soll ""Patient verlässt das Krankenhaus gegen Rat der Ärzte""... Auf Rückfragen hierzu konnte der Arzt nicht eingehen, weil er telefonierte. Er winkte nur ab. Schockiert davon und weil ich nicht wusste, was ich machen sollte, habe ich die Zugänge komplett vergessen. Die hab ich mir dann zuhause notgedrungen selbst gezogen.

Der 2. Stern ist lediglich für die junge Auszubildende, die zwischendurch ein Glas Wasser angeboten hat und sich selbstständig nach dem Stand meiner Blutwerte erkundigt hat und mir davon berichtete. Danke dafür!

Ansonsten bevorzuge ich in Zukunft immer das Krankenhaus in Gehrden.",6 months ago,3
Sana Klinikum Hameln-Pyrmont,2.5,277,"Saint-Maur-Platz 1, 31785 Hameln",1,"(Translated by Google) 5 stars for station B1 and their doctors! Greetings from Mr. Wilke !!

For the clinic management and their mouthpiece or complaint manager Peter Höxter it should be minus 30 stars!

I have been operated on 3 times in the clinic, I was mostly satisfied, my operations were on average always between € 7,500 - € 8,500, making a total of over € 25,000 !!

The last operation was only in the middle of it on May 22nd, 2020 in the ""Corona time""!

For years I have suffered from severe REM sleep-stressed obstructive sleep apnea syndrome, obesity hypoventilation syndrome
with nocturnal hypoxemia (ED11 / 2013)

Normally, if you are employed in the sleep laboratory, you only have to do a screening (control) via your pulmonologist every 2 - 3 years. I have to go to the Karl Hansen Clinic in the sleep laboratory every year because at night my ""blood gas values"" (carbon dioxide in the blood) damage my organs during my BIPAP therapy. (Shortly before the mask was required, the Karl Hansen Klinik informed the patients who absolutely needed a certificate because their blood gas values ​​were too bad) Me too !!!

in addition there is COPD which is a chronic lung disease and is also treated with medication (ultibro breezhaler) and as a ""need"" medication I take Berodual

It should now be clear to the layman at the latest that I have to be exempted from the mask requirement (medical certificate is available) !! During my stationary stay in May, that wasn't a problem either! 10 days in the entire hospital without a mask! As a competent complaint management, Mr. Höxter could explain why there are such morally questionable orders in the clinic!

So my dear Mr. Höxter, whom I have been trying to reach by phone all morning, you should put your oh-so-great ""quality management"" online.

Yesterday on September 7th, 2020 my wife was admitted to her clinic with atrial fibrillation! The one who was in the hospital for the first time at the age of 47, who had to be given sedative medication in the emergency room because she could not be calmed down. When I wanted to bring things to my wife at 2:30 p.m., I was forced to wear a mask by the KOBAK Security company!

If I wouldn't wear these, I wouldn't be allowed to go to my wife! The security company didn't even think it necessary after my explanation why I am not allowed to wear a mask to bring in a clinic manager, such as Mr. Höxter. One of the MAs said literally to the other MA do not discuss with him if he does not want to throw him out!

My dear Mr. Höxter and clinic management !!!

This fulfills the criminal offense of ""coercion and possibly also of serious bodily harm"" which I will now have legally checked and also report, because from an emergency situation it is against the law of the Lower Saxony regulation that clearly states that people with a lung disease JUST AS I ARE RELEASED FROM THE MASKING REQUIREMENT, NO ONE GIVES YOU THE RIGHT ABOUT APPLICABLE LAW !!! NONE !!!!!! AND BEFORE EVERYONE I CAN PROVE THAT I WAS NO MASK IN MAY, IN STATIONARY, YOU KNOW IT AND DESPITE SUCH INSTRUCTIONS ARRIBLY! HERR HÖXTER NEED FOR THE PATIENT OR THE VISITOR !!! IS THE SAME!!!!!!

And my dear Mr. Höxter, I will now promise you and your great clinic management one thing!

I have legal protection insurance! I will take all legal steps due to such an inhuman behavior towards minorities like me to the last! And if I have to go to the Higher Regional Court !! But that stops here and now !!

Incredibly what an anti-social and inhuman behavior! What your good doctors and nursing staff achieve you tear down again with your incredible incompetence!

(Original)
5 Sterne für Station B1 und deren Ärtze! Liebe Grüße von Herrn Wilke!!

Für Die Klinikleitung und ihren Sprachrohr bzw. Beschwerde Manager Peter Höxter müßte es minus 30 Sterne!!

Ich bin in der Klinik 3 mal Operiert worden ich war zum größtenteil zufrieden meine Operationen haben im schnitt immer zwischen 7 500.-€ - 8 500.-€ gelegen macht einen Gesamtbetrag von über 25 000.-€!!

Die letzte Operation war erst am 22.5.2020 in der ""Corona Zeit"" mitten drin!

Ich leide seit Jahren an einer schweres REM-Schlaf-betontes  obstruktives Schlafapnoe-Syndrom, Obesitas-Hypoventilationssyndrom
mit nächtlicher Hypoxämie (ED11/2013)

Normalerweise muss mann wenn man im Schlaflabor eingestellt ist nur alle 2 - 3 Jahre ein Screening (Kontrolle) über seinen Lungenarzt machen. Ich muss jedes Jahr in die Karl Hansen Klinik ins Schlaflabor weil Nachts bei meiner BIPAP Therapie meine ""Blutgaswerte"" (Kohlendioxyd im Blut) meine Organe schädigen. (Kurz vor Maskenpflicht informierte die Karl Hansen Klinik die Patienten, die unbedingt ein Attest benötigen, weil deren Blutgaswerte zu schlecht sind) Auch mich!!!

zu dem kommt noch COPD was eine Chronische Lungenkrankheit ist und auch mit Medikamenten behandelt wird (ultibro breezhaler) und als ""bedarf"" Medikation nehme ich Berodual

Dem Leien sollte spätestens jetzt klar sein, dass ich ich von der Maskenpflicht befreit sein muss(Ärztliches Attest liegt vor)!! Im Mai bei meinen Stationären Aufentalt war das auch kein Problem! 10 Tage im Gesamten Klinikum ohne Maske! Herr Höxter könnte ja als Kompetenter Beschwerdemagagment das hier mal erläutern, warum es solche Moralisch fragwürdige Anordnungen im Klinikum gibt!

So mein Lieber Herr Höxter, den ich schon den ganzen morgen versuche telefonisch zu erreichen an dieser stelle sollten Sie ihr ach so tolles ""Qualitätsmanagment"" online schalten.

Gestern am 7.9.2020 wurde meine Frau mit Vorhof flimmern in ihr Klinikum eingewiesen!  Die mit 47 Jahren das erste mal im Krankenhaus ist, die in der Notaufnahme Beruhigungsmedikation bekommen musste, weil Sie sich nicht beruhigen ließ. Ich um 14:30 Uhr meiner Frau Sachen bringen wollte, wurde ich dazu von der Firma KOBAK Security dazu genötigt, eine Maske zu tragen!!

Wenn ich diese nicht tragen würde, dürfe ich nicht zu meiner Ehefrau!!! Die Security Firma hielt es noch nicht mal für nötig nach meiner erklärung warum ich keine Maske tragen darf einen Klinik Verantwortlichen, wie zum Beispiel Herrn Höxter dazu zu holen. Einer der MA´s sagte wortwörtlich zu dem anderen MA  diskutiere nicht mit dem wenn er nicht will schmeiß Ihn raus!!!

Mein Lieber Herr Höxter und Klinikleitung!!!

Dieses erfüllt den Straftatbestand der ""Nötigung und gegebenfalls auch der schweren Körperverletzung"" Was ich Juristisch jetzt prüfen lassen werde und auch zur Anzeige bringen werde, denn aus einer Notsituation heraus sich gegen geltendes Recht der Niedersächsischen Verordnung die ganz klar besagt, dass Menschen mit einer Lungenkrankheit SO WIE ICH VON DER MASKENPFLICHT BEFREIT KEINER GIBT IHNEN DAS RECHT SICH ÜBER GELTENDES RECHT SICH HINWEG ZU SETZEN!!! KEINER!!!!!!   UND VOR ALLEN ICH NACHWEISEN KANN, DASS ICH IM MAI STATIONÄR EBENFALLS KEINE MASKE TRUG SIE ES WISSEN UND TROTZDEM SOLCHE ANWEISUNGEN WILLKÜRLICH ERLASSEN!!! HERR HÖXTER NÖTIGUNG AM PATIENTEN ODER AM BESUCHER!!! IST DAS GLEICHE!!!!!!

Und mein lieber Herr Höxter ich werde Ihnen und Ihrer tollen Klinikleitung jetzt eins versprechen!!!

Ich habe eine Rechtschutzversicherung!!! Ich werde sämtliche Rechtliche Schritte aufgrund solch eines Unmenschliche verhalten gegenüber Minderheiten wie mich bis aufs letzte ausschöpfen!!! Und Wenn ich es bis vor das Oberlandesgericht gehen muss!! Aber das hört hier und jetzt auf!!

Unfassbar was für ein Asoziales und Menschenverachtendes Verhalten!! Das was Ihre guten Ärzte und Pflegepersonal erreichen reißen Sie mit Ihrer unfassbaren Inkompetenz wieder ein!!",6 months ago,5
Sana Klinikum Hameln-Pyrmont,2.5,277,"Saint-Maur-Platz 1, 31785 Hameln",5,"(Translated by Google) My husband took me to the emergency room for the New Year and luckily I received a very friendly welcome and my concerns were taken care of directly. After a maximum of 20 minutes waiting time, my examination began and Dr. Bilbao-Irmer took great care of me. A really great doctor, big praise !! She does a great job !! The entire staff in the operating room and the nurses on B1 were also very friendly and helpful.

(Original)
Mein Mann hat mich Neujahr in die Notaufnahme gebracht und dort wurde ich zum Glück sehr freundlich empfangen und man sich direkt um mein Anliegen gekümmert. Nach max. 20 Minuten Wartezeit begann meine Untersuchung und Frau Dr. Bilbao-Irmer hat sich super um mich gekümmert. Eine ganz tolle Ärztin, großes Lob!! Sie macht einen großartigen Job!! Auch die komplette Belegschaft im OP und die Schwestern auf der B1 waren sehr freundlich und hilfsbereit.",a month ago,0
Sana Klinikum Hameln-Pyrmont,2.5,277,"Saint-Maur-Platz 1, 31785 Hameln",5,"(Translated by Google) Very very friendly nurse and doctors, I felt very well looked after according to the circumstances and especially the nurses in ward 2 were so friendly and kind. A big thank you and praise !!!! If it weren't for a hospital, I would say I would love to come back: -D

(Original)
Sehr sehr freundliche Krankenschwester und Ärzte, ich habe mich den Umständen entsprechend sehr gut versorgt gefühlt und insbesondere die Schwestern auf der Station 2 waren so freundlich und lieb. Ein ganz großes Dankeschön und Lob!!!! Wenn es kein Krankenhaus wäre, würde ich sagen, dass ich gerne wieder komme:-D",8 months ago,3
