Name,AVG - Sterne,Zahl der Kommentaren,Adresse,Sterne,Kommentare,Datum,Likes
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) The entire clinic makes a very good impression, was there on 01/28/21 and can judge it that way.
Reception, preliminary examination, staff and food were very good. The operation went very well, the discharge after 2 days without any problems.

(Original)
Die gesamte Klinik macht einen sehr guten Eindruck, war am 28.01.21 dort und kann das so beurteilen.
Empfang, Voruntersuchung, Personal und Verpflegung waren sehr gut. Die OP verlief sehr gut, die Entlassung nach 2 Tagen ohne Probleme.",a month ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) Modern hospital, very nice staff, reception, nurses, doctors and cleaning staff.
Food delicious.
I felt well looked after. Thank you

(Original)
modernes Krankenhaus, sehr nettes Personal Empfang, Schwesten, Ärzte bis zur Reinigungskraft.
Essen lecker.
Habe mich gut betreut gefühlt. Danke",4 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",1,"(Translated by Google) The clinic management has the secretariat cancel the planned and necessary knee surgery. Reason for my mask exemption. I voluntarily wear a face shield to meet everyone else. Now should I wait until Corona is no longer threatening? We'll wait until Ebula is eradicated!

(Original)
Die Klinikleitung lässt durch das Sekretariat die geplante und notwendige  Knie-OP absagen. Grund dafür meine Maskenbefreiung . Ich trage freiwillig ein Faceshild um allen anderen entgegenzukommen. Nun soll ich warten bis Corona nicht mehr bedrohlich ist? Wir warten dann noch bis Ebula ausgerottet ist!",3 weeks ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) I was operated on by Mr. Stolle on January 11th, 2021. A great doctor who has convinced me on all levels. Unfortunately, I can't comment on the result yet.

The hospital itself is well-kept and modern. There is no television in the rooms.

Kudos to the night nurse on Ward 2 (Hans-Jürgen), super friendly, very helpful and always took the time to explain everything to us! It's been a long time since I had such a nice caregiver!
Many Thanks!

(Original)
Ich wurde am 11.01.2021 von Herrn Stolle operiert. Ein super Arzt der mich auf allen Ebenen überzeugt hat. Zu dem Ergebnis kann ich leider noch nichts sagen.

Das Krankenhaus an sich ist gepflegt und modern. Es gibt in den Zimmern keinen Fernseher mehr.

Ein großes Lob geht an den Nacht Pfleger auf Station 2 (Hans-Jürgen) super freundlich, sehr hilfsbereit und hat sich immer Zeit genommen um uns alles zu erklären!! Super so eine nette Pflegekraft hatte ich lange nicht!
Vielen Dank!",2 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) Was in the clinic for 2 days and was supported by Dr. Trübenbach
operated on. Very good doctor.
The friendliness of the staff was also very good.
All in all, one too
recommended clinic.

(Original)
War 2 Tage in der Klinik und wurde von Dr. Trübenbach
operiert. Sehr guter Arzt.
Auch die Freundlichkeit  des Personals war sehr gut.
Alles im Allem  , eine zu
empfehlenswerte Klinik.",3 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) I think this clinic is just great, it absolutely deserves the 5 stars.
From the first moment you are in good hands here
You are treated great and they go into everything.

A small flaw too little coffee 😂

Otherwise nurses and doctors in everything top.

(Original)
Ich finde diese Klinik einfach klasse sie haben die 5 Sterne absolut verdient .
Vom 1.Moment an ist man hier super aufgehoben
Man wird super behandelt und sie gehen auf alles ein .

Ein kleines Manko zu wenig Kaffee 😂

Ansonsten Pfleger in und Ärzte in    alles Top .",4 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) I wanted to talk to the Sophienklinik and Dr. Thank you Holland for the smooth process. I felt that everything was very well organized and that I was in good hands. During the preparation for anesthesia and in the operating room, the nurses calmed me down and stood by my side when I was afraid. The nurses who looked after me after the operation were also very friendly. Miss Dr. Holland got me out of my ailments and is a class surgeon! Thanks to the entire team for making the stay as pleasant as possible!

(Original)
Ich wollte mich kurz bei der Sophienklinik und Frau Dr. Holland für den reibungslosen Ablauf bedanken. Ich empfand alles sehr gut durchorganisiert und habe mich gut aufgehoben gefühlt. Während der Narkosevorbereitung und im OP haben mich die Schwestern gut beruhigt und mir bei meiner Angst beiseite gestanden. Auch die Schwestern, die mich nach der OP versorgt haben, waren sehr freundlich. Frau Dr. Holland hat mich von meinen Leiden befreit und ist eine Klasse Chirurgin! Danke an das gesamte Team, dass der Aufenthalt so angenehm wie möglich gestaltet wurde!",2 weeks ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) The stress of everyday life has barely released me ... Many thanks to everyone who contributed to the fact that the last 4 days were very pleasant under the circumstances! Without exception, I met very friendly and competent people here. THANK YOU!
PS: A special thank you to the stranger who looked after me so touchingly in the recovery room immediately after the operation. 😘

(Original)
Kaum entlassen hat mich der Alltagsstress wieder... Vielen Dank an alle die dazu beigetragen haben, dass die letzten 4 Tage den Umständen entsprechend sehr angenehm waren! Ich bin hier ausnahmslos sehr freundlichen und kompetenten Menschen begegnet. DANKE!
PS: Einen besonderen Dank an die Unbekannte die sich direkt nach der OP im Aufwachraum so rührend um mich gekümmert hat. 😘",5 months ago,1
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",4,"(Translated by Google) So I was there for outpatient treatment, I thought it was good that you got a corona test right away. During the stay the staff was friendly and professional.

(Original)
Also ich war zur ambulanten Behandlung dort, fand schon mal gut dass man gleich einen Corona Test bekommen hat.  Während des Aufenthaltes war das Personal freundlich und  professionell.",3 months ago,0
Sophienklinik GmbH,3.9,116,"Bischofsholer Damm 160, 30173 Hannover",5,"(Translated by Google) I had an operation there on February 15th, 21st (hip cathroscopy) and got the best doctor there is for it.
OP staff / anesthesia and everything was 1 with *.
The hospital itself is really well organized, friendly, courteous. The nurses on my ward super FRIENDLY they know what they are doing and were always available and having fun, they also understood what is very important in the current situation in which we are. Unfortunately, there are also minor or major flaws.
First of all, there are the security people at the front of the front door who are very unfriendly. Several times I passed you and people were constantly being pampered and I don't think that's possible. I know that the current situation demands a lot from us, but something has to be done and you should be friendly as the first point of contact. Second, it is the cleanliness of the rooms, the company that cleans the rooms is rude if you ask them about mistakes and they don't clean them properly either. The garbage was taken from the garbage cans and no new bag was packed in and the sanitary facilities weren't cleaned properly either. That should be one of the most important things in the hospital (CLEANLINESS).
Otherwise a top hospital.
Super super super

(Original)
Ich wurde dort am 15.02.21 Operiert (Hueftathroskopie) und habe den besten Arzt erwischt, den es dafür gibt.
OP Personal /Anesthesie und alles war 1 mit *.
Das Krankenhaus an sich echt gut organisiert, freundlich, zuvorkommend. Die Schwestern auf meiner Station super FREUNDLICH sie wissen was sie tuen und waren immer zur stelle und spaß haben sie auch verstanden was sehr wichtig ist in der jetzigen situation in der wir uns befinden. Leider gibt es auch kleine oder große Makel.
Als erstes sind es die sicherheitsmenschen die vorne an der Eingangstuer, die sehr unfreundlich sind. Mehrmals bin ich an Ihnen vorbei gegangen und ständig wurden Leute angepampt und ich finde das geht nicht. Ich weiß das die jetzige Situation uns viel abverlangt aber da muss was gemacht werden und man sollte die freundlich sein als erster Ansprechpartner. Zweitens ist es die Sauberkeit in den Zimmern, die Firma die die Zimmer sauber macht ist unfreundlich wenn man sie auf Fehler anspricht und richtig sauber machen sie auch nicht. Der müll wurde aus den Mülleimern genommen und es wurde aber keine neue tuete rein gepackt und die Sanitärenanlagen wurden auch nicht richtig gereinigt. Das solle eines der  wichtigsten Dinge sein im Krankenhaus (SAUBERKEIT).
Sonst ein top Krankenhaus.
Super super super",3 weeks ago,0
