names,reviews,ratings
Augenklinik - Dr. Hoffmann,meine laser op grauer star hat super geklappt alles lief wie am schnürchen ab danke dafür danke auch an den neuen küchenchef für das tolle brötchenwar eine überraschung mit dem shuttleservice war ich auch sehr zufrieden sehr freundliche fahrerrinnen also die klinik ist absolut weiter zu empfehlen,6
Augenklinik - Dr. Hoffmann,bin sehr zufrieden gewesen mit der klinik und dem personal die erste op verlief sehr gut die  zweite folgt in 3 wochen werde die klinik auf jeden fall weiterempfehlen,6
Augenklinik - Dr. Hoffmann,komptentes ärzteteam strickte einhaltung der corona schutzregeln rundum zufrieden,6
Augenklinik - Dr. Hoffmann,ich komme seit einen halben jahr mit meiner behinderten frau hier zum augenspritzen auf grund eines diabetischen makulasyndroms ich kann bis jetzt nur positiv berichten  auch wenn das wartezimmer sehr voll ist  waren wir immer sehr schnell dran und innerhalb einer stunde fertig hier wird der patient noch als mensch betrachtet und nicht als nummer es wird mit namen aufgerufen  kinder mit vornamen bei behinderungen werden die patienten von den immer netten schwestern betreut und es wird geholfen von den ärzten bekommt man alles genau erklärt  hier fühlt man sich in guten händen  danke an das gesamte ärzte und schwesternteam,6
Augenklinik - Dr. Hoffmann,ich war anfang november 2019 zur augenop grauer starin der klinik und zunächst wegen negativer meinungen voller bedenken  doch im gegenteil sowohl beim voruntersuchungstermin als auch am tag der op kümmerte sich das gesamte klinikpersonal nett und ausführlich beratend um mich besonders fürsorglich und freundlich begegnete mir die anästhesieärztin die mir durch ihre beruhigende und verständliche aufklärung der auf mich zukommenden ereignisse die angst vor dem eingriff nahm,6
Augenklinik - Dr. Hoffmann,trotz extrem hoher patientenfrequenz erfolgte die behandlunguntersuchung in angemessener zeit  ausführliche untersuchung durch mehrere ärzte mit entsprechend verständlicher und detaillierter aufklärung über behandlung und opverlauf  klinikaufenthalt durch akute behandlung leider nur in dreibettzimmer möglich gewesen  dennoch versuchen sowohl ärzte aus auch das umsichtige und sehr nette pflegepersonal den aufenthalt den umständen entsprechend angenehm zu machen die postoperative versorgung durch die ärzte ist vorbildlich,6
Augenklinik - Dr. Hoffmann,diese klinik ist nur zu empfehlen das gesamte team ärzte helferinnen pflege und hauswirtschaftspersonal arbeiten ausnahmslos professionell nach insgesamt 14 tagen aufenthalt kann ich sagen nicht ein unfreundliches wort absolut engmaschige ärztliche und pflegerische betreuung jederzeit würde ich mich wieder an die augenklinik wenden,6
Augenklinik - Dr. Hoffmann,sehr nettes und kompetentens personal kurze wartezeiten trotz hoher frequentierung gute aufklärung durch die ärzte im op bereich nette heitere und gelassene atmosphäre trotz stress meine mutter fühlt sich dort als mensch und nicht nur als patient und nummer alle mitarbeiter sehr geschult und emphatisch,6
Augenklinik - Dr. Hoffmann,freundliches personal keine lange wartezeit kompetente behandlung,6
Augenklinik - Dr. Hoffmann,dass es bei einer offenen sprechstunde einer augenklinik zu langen wartezeiten kommt ist verständlich trotzdem ist es toll dass es so eine möglichkeit gibt allerdings war ich nach zwei stunden warten auf einer bank oberhalb einer zugigen treppe schon sehr durchgefroren die arzthelferinnen wirkten freundlich die beiden dann untersuchenden ärztinnen leider gar nicht kaum aufklärung meine drei sätze die ich zur anamnese sagen wollte schienen uninteressant es wurde kein einziges mal gelächelt fragen von mir am ende wurden teilweise sehr gereizt aufgenommen geantwortet wurde zt mit genervten rhetorischen gegenfragen es war keine angenehme atmosphäre und ich traute mich am ende gar nicht mehr alle meine fragen loszuwerden  ja ärzte haben oft wenig zeit und einen stressigen job trotzdem gibt es ärzte die den patienten mit respekt und empathie begegnen und sogar fragen ob es noch fragen gibt  letztlich sind ärzte nach patientenrechtegesetz auch einfach verpflichtet über diagnose prognose behandlungsmöglichkeiten usw aufzuklären und den patienten zu ermöglichen fragen zu stellen bis sie alles verstanden haben schade dass das so oft auf der strecke bleibt dazu muss ich sagen dass ich schon einmal bei einem polnischem arzt in derselben klinik war dieser war tatsächlich sehr nett und wirkte überhaupt nicht genervt von fragen,2
